Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,840,840,11.904,487.1408,487.1408,10000
2,16863,1600,12.499,725.0174,606.0791,20000
3,6497,2137,14.038,1553.5263,921.8948333333333,30000
4,6131,2552,15.669,1632.9647,1099.6623,40000
5,6493,2905,17.209,1538.8465,1187.49914,50000
6,6180,3186,18.828,1619.4698,1259.49425,60000
7,6169,3423,20.449,1628.3759,1312.1916285714285,70000
8,6188,3625,22.065,1621.9619,1350.9129125,80000
9,6131,3798,23.696,1634.857,1382.4622555555557,90000
10,6531,3964,25.227,1535.6793,1397.78396,100000
