Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,552,552,18.091,1896.5381,1896.5381,10000
2,476190,1103,18.116,1737.522,1817.03005,20000
3,151515,1649,18.182,174.2775,1269.4458666666667,30000
4,27777,2157,18.542,360.6522,1042.24745,40000
5,14164,2597,19.249,711.2348,976.04492,50000
6,13642,3002,19.983,735.2828,935.9179,60000
7,13888,3381,20.703,719.829,905.0480571428571,70000
8,13458,3730,21.446,745.5378,885.109275,80000
9,13698,4058,22.177,738.7918,868.8517777777778,90000
10,6238,4205,23.78,1604.8472,942.45132,100000
