Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
24,33444,10754,22.317,3.1266,4.0812875,240000,71167,121343,223231,71167,121343,223231
25,44247,11089,22.543,3.0078,4.038348,250000,69631,110591,222207,69631,110591,222207
26,54644,11440,22.726,2.9846,3.9978192307692306,260000,68607,103423,221183,68607,103423,221183
27,35971,11736,23.005,1.5132,3.9057962962962964,270000,67583,103423,219135,67583,103423,219135
28,90909,12113,23.115,1.8505,3.832392857142857,280000,62975,102399,218111,62975,102399,218111
29,63694,12461,23.272,1.0887,3.7377827586206895,290000,57343,101887,217087,57343,101887,217087
30,33783,12729,23.568,1.4409,3.66122,300000,50943,100351,216063,50943,100351,216063
31,30581,12973,23.895,1.0342,3.5764774193548385,310000,44287,99839,215039,44287,99839,215039
32,44444,13266,24.12,1.0921,3.498840625,320000,38143,97791,214015,38143,97791,214015
33,66225,13596,24.271,1.887,3.44999696969697,330000,36095,97279,214015,36095,97279,214015
34,75187,13932,24.404,1.205,3.3839676470588236,340000,34559,96767,212991,34559,96767,212991
35,36363,14182,24.679,1.6409,3.334165714285714,350000,33279,95743,211967,33279,95743,211967
36,43478,14452,24.909,1.5107,3.283513888888889,360000,32511,94207,210943,32511,94207,210943
37,50251,14736,25.108,1.956,3.2476351351351354,370000,31743,90111,209919,31743,90111,209919
38,68027,15046,25.255,0.7691,3.1824105263157896,380000,31359,86015,208895,31359,86015,208895
39,24096,15192,25.67,1.6504,3.143128205128205,390000,30591,83455,208895,30591,83455,208895
40,32679,15398,25.976,0.8297,3.0852925,400000,29951,81407,208895,29951,81407,208895
41,30395,15585,26.306,0.7574,3.0285146341463416,410000,29695,79871,208895,29695,79871,208895
42,48309,15841,26.513,0.6422,2.971697619047619,420000,29311,78847,207871,29311,78847,207871
43,40816,16069,26.758,0.6986,2.91883488372093,430000,29183,77823,206847,29183,77823,206847
44,41841,16298,26.997,1.1065,2.8776454545454544,440000,28927,76799,205823,28927,76799,205823
45,46511,16536,27.213,0.9746,2.8353555555555556,450000,28671,76287,204799,28671,76287,204799
46,96153,16839,27.317,0.3636,2.781621739130435,460000,28543,74751,202751,28543,74751,202751
47,49261,17078,27.52,1.4359,2.7529893617021277,470000,28415,72191,201727,28415,72191,201727
48,24570,17187,27.927,1.5967,2.7289,480000,28159,71167,200703,28159,71167,200703
49,37593,17380,28.193,1.3643,2.7010510204081633,490000,27903,70143,199679,27903,70143,199679
50,32362,17542,28.502,1.2297,2.671624,500000,27775,69631,197631,27775,69631,197631
51,48543,17765,28.708,1.0171,2.6391823529411766,510000,27519,69119,195583,27519,69119,195583
52,28409,17894,29.06,0.961,2.606909615384615,520000,27263,68607,194559,27263,68607,194559
53,17301,17882,29.638,1.3508,2.583209433962264,530000,26879,68607,193535,26879,68607,193535
54,39840,18066,29.89,0.9018,2.5520722222222223,540000,26495,67583,193535,26495,67583,193535
55,19267,18086,30.41,1.3148,2.5295763636363637,550000,26111,65279,192511,26111,65279,192511
56,39525,18263,30.663,1.5268,2.511669642857143,560000,25727,62975,192511,25727,62975,192511
57,75757,18509,30.795,1.5423,2.494663157894737,570000,25215,60415,192511,25215,60415,192511
58,40983,18686,31.039,1.5689,2.478701724137931,580000,24703,57343,192511,24703,57343,192511
59,39215,18853,31.294,1.99,2.4704186440677964,590000,24319,54015,191487,24319,54015,191487
60,48076,19046,31.502,1.4482,2.4533816666666666,600000,23935,50943,191487,23935,50943,191487
61,80645,19287,31.626,2.0504,2.4467754098360657,610000,23551,47615,190463,23551,47615,190463
62,51020,19483,31.822,0.4723,2.4149290322580645,620000,23039,44287,190463,23039,44287,190463
63,36764,19629,32.094,1.6384,2.4026031746031746,630000,22655,40959,189439,22655,40959,189439
64,24875,19694,32.496,1.4177,2.3872140625,640000,22399,38143,189439,22399,38143,189439
65,35971,19832,32.774,2.2843,2.385630769230769,650000,22143,36607,188415,22143,36607,188415
66,44843,20001,32.997,1.7249,2.375619696969697,660000,21887,36095,187391,21887,36095,187391
67,40000,20152,33.247,3.3156,2.3896492537313434,670000,22271,35583,185343,22271,35583,185343
68,36900,20287,33.519,2.5273,2.3916735294117646,680000,22399,34559,184319,22399,34559,184319
69,71428,20499,33.659,0.401,2.3628231884057973,690000,22143,34047,181247,22143,34047,181247
70,30395,20595,33.988,1.1145,2.34499,700000,21887,33279,177151,21887,33279,177151
71,50761,20769,34.185,0.7398,2.322381690140845,710000,21759,32767,173055,21759,32767,173055
72,38461,20902,34.445,0.7733,2.300866666666667,720000,21631,32639,169983,21631,32639,169983
73,83333,21119,34.565,4.779,2.334813698630137,730000,22527,36607,165887,22527,36607,165887
74,31645,21214,34.881,1.1369,2.318625675675676,740000,22399,36351,163839,22399,36351,163839
75,40322,21349,35.129,10.7547,2.4311066666666665,750000,23551,46847,161791,23551,46847,161791
76,80645,21558,35.253,1.0534,2.412978947368421,760000,23167,46079,158719,23167,46079,158719
77,52910,21725,35.442,1.0565,2.3953623376623376,770000,22911,44799,155647,22911,44799,155647
78,20325,21706,35.934,1.1173,2.378976923076923,780000,22655,43775,150527,22655,43775,150527
79,67114,21893,36.083,0.5374,2.35566582278481,790000,22527,42495,148479,22527,42495,148479
80,19083,21853,36.607,1.2884,2.342325,800000,22271,41215,146431,22271,41215,146431
81,19920,21827,37.109,0.8308,2.323664197530864,810000,22143,39935,143359,22143,39935,143359
82,45871,21968,37.327,2.0359,2.3201548780487804,820000,21887,38399,140287,21887,38399,140287
83,42194,22095,37.564,3.608,2.3356710843373496,830000,23167,37631,137215,23167,37631,137215
84,26954,22143,37.935,0.7148,2.316375,840000,22911,36607,137215,22911,36607,137215
85,80000,22333,38.06,1.5415,2.307258823529412,850000,22655,36351,136191,22655,36351,136191
86,59171,22496,38.229,0.6655,2.2881686046511627,860000,22527,36095,136191,22527,36095,136191
87,25316,22524,38.624,0.8003,2.2710666666666666,870000,22271,35839,135167,22271,35839,135167
88,40160,22637,38.873,0.685,2.2530431818181818,880000,22015,35583,135167,22015,35583,135167
89,24570,22657,39.28,0.9345,2.2382280898876403,890000,21887,35327,134143,21887,35327,134143
90,33444,22739,39.579,0.7273,2.22144,900000,21759,34815,133119,21759,34815,133119
91,40322,22848,39.827,1.3613,2.211987912087912,910000,21503,34559,133119,21503,34559,133119
92,99009,23040,39.929,0.5959,2.194421739130435,920000,21503,34559,132095,21503,34559,132095
93,34965,23125,40.215,1.1944,2.183668817204301,930000,21375,34303,131071,21375,34303,131071
94,30487,23185,40.543,1.6579,2.1780755319148937,940000,21119,34303,130559,21119,34303,130559
95,47619,23311,40.753,1.0484,2.166184210526316,950000,21119,34047,129535,21119,34047,129535
96,66225,23469,40.904,1.1076,2.155157291666667,960000,20863,33791,129535,20863,33791,129535
97,34246,23545,41.196,0.8097,2.1412865979381444,970000,20863,33535,129023,20863,33535,129023
98,50251,23674,41.395,1.4587,2.1343214285714285,980000,20735,33023,129023,20735,33023,129023
99,81967,23845,41.517,3.9994,2.153160606060606,990000,21247,34303,129023,21247,34303,129023
100,41152,23946,41.76,1.0278,2.141907,1000000,21119,34047,129023,21119,34047,129023
101,64102,24095,41.916,0.5132,2.125781188118812,1010000,20863,33791,127999,20863,33791,127999
102,96153,24274,42.02,1.8585,2.1231607843137255,1020000,20863,33535,127487,20863,33535,127487
103,51546,24399,42.214,2.2983,2.124861165048544,1030000,20735,33279,127487,20735,33279,127487
104,57803,24535,42.387,1.4302,2.1181817307692308,1040000,20735,33023,127487,20735,33023,127487
105,55555,24666,42.567,0.4651,2.1024380952380954,1050000,20607,32767,126975,20607,32767,126975
106,46082,24775,42.784,0.6827,2.0890443396226415,1060000,20479,32639,126463,20479,32639,126463
107,43859,24876,43.012,2.2442,2.0904943925233646,1070000,20479,32383,126463,20479,32383,126463
108,36630,24950,43.285,1.8993,2.088724074074074,1080000,20351,32255,125951,20351,32255,125951
109,36231,25021,43.562,1.0441,2.079140366972477,1090000,20223,32127,125439,20223,32127,125439
110,55555,25147,43.742,1.2693,2.071778181818182,1100000,20095,31871,124927,20095,31871,124927
111,36363,25217,44.017,2.1187,2.072200900900901,1110000,19967,31743,124415,19967,31743,124415
112,29673,25251,44.354,1.9239,2.070876785714286,1120000,19967,31615,123903,19967,31615,123903
113,47169,25355,44.566,1.1677,2.06288407079646,1130000,19839,31359,123391,19839,31359,123391
114,52910,25472,44.755,0.8914,2.052607894736842,1140000,19711,31231,123391,19711,31231,123391
115,28985,25498,45.1,0.7695,2.041450434782609,1150000,19583,31103,122879,19583,31103,122879
116,45662,25596,45.319,2.0796,2.0417793103448276,1160000,19839,30975,122879,19839,30975,122879
117,45454,25692,45.539,1.0308,2.0331384615384613,1170000,19711,30719,122879,19711,30719,122879
118,45871,25788,45.757,1.2096,2.0261593220338985,1180000,19583,30463,122367,19583,30463,122367
119,44052,25878,45.984,2.2344,2.027909243697479,1190000,19839,30207,122367,19839,30207,122367
120,47393,25976,46.196,1.0976,2.020156666666667,1200000,19711,29951,121343,19711,29951,121343
121,68965,26110,46.341,1.7314,2.017770247933884,1210000,19583,29823,119295,19583,29823,119295
122,41666,26190,46.582,1.3532,2.012322950819672,1220000,19455,29695,117247,19455,29695,117247
123,42372,26271,46.818,2.0695,2.012787804878049,1230000,19455,29695,115199,19455,29695,115199
124,34722,26323,47.107,0.5989,2.0013854838709677,1240000,19455,29567,113151,19455,29567,113151
125,90090,26472,47.218,1.0899,1.9940936,1250000,19327,29439,110591,19327,29439,110591
126,46082,26562,47.435,0.8241,1.9848079365079365,1260000,19199,29311,108543,19199,29311,108543
127,69930,26692,47.579,0.8684,1.9760173228346456,1270000,19199,29183,107519,19199,29183,107519
128,48780,26787,47.784,1.1711,1.96972890625,1280000,19071,29183,107007,19071,29183,107007
129,25839,26779,48.171,0.8696,1.9612007751937985,1290000,19071,29055,106495,19071,29055,106495
130,33444,26820,48.47,3.7702,1.975116153846154,1300000,19199,29311,105471,19199,29311,105471
131,51546,26919,48.664,2.8928,1.9821213740458015,1310000,19199,29183,104959,19199,29183,104959
132,42016,26992,48.902,1.3085,1.9770181818181818,1320000,19199,29183,104447,19199,29183,104447
133,51020,27088,49.098,1.4008,1.9726857142857144,1330000,19071,29183,103935,19071,29183,103935
134,48780,27178,49.303,1.4223,1.9685783582089553,1340000,19071,29055,103423,19071,29055,103423
135,89285,27319,49.415,1.0473,1.961754074074074,1350000,18943,28927,103423,18943,28927,103423
136,61728,27432,49.577,0.802,1.9532264705882354,1360000,18943,28799,103423,18943,28799,103423
137,44642,27509,49.801,1.2308,1.9479532846715328,1370000,18943,28799,103423,18943,28799,103423
138,39062,27568,50.057,1.0956,1.941776811594203,1380000,18815,28671,103423,18815,28671,103423
139,99009,27711,50.159,2.8878,1.9485827338129496,1390000,18943,28543,103423,18943,28543,103423
140,26881,27705,50.531,1.8111,1.9476007142857144,1400000,18943,28543,103423,18943,28543,103423
141,32573,27735,50.838,1.9135,1.947358865248227,1410000,18943,28543,103423,18943,28543,103423
142,49261,27820,51.042,2.6623,1.952393661971831,1420000,19071,28415,103423,19071,28415,103423
143,98039,27959,51.145,1.0975,1.9464153846153847,1430000,18943,28287,103423,18943,28287,103423
144,72992,28079,51.283,2.0255,1.9469645833333333,1440000,19071,28287,102911,19071,28287,102911
145,30769,28096,51.608,2.5044,1.9508089655172414,1450000,19199,28159,102911,19199,28159,102911
146,47169,28174,51.82,2.437,1.9541390410958903,1460000,19199,28031,102911,19199,28031,102911
147,31847,28196,52.134,2.1563,1.9555142857142858,1470000,19199,28031,102399,19199,28031,102399
148,24390,28166,52.544,1.1447,1.950035810810811,1480000,19199,27903,102399,19199,27903,102399
149,82644,28292,52.665,0.9986,1.9436503355704697,1490000,19071,27903,102399,19071,27903,102399
150,48543,28370,52.871,0.9708,1.9371646666666666,1500000,19071,27775,102399,19071,27775,102399
151,26109,28354,53.254,1.1151,1.9317205298013245,1510000,19071,27647,101887,19071,27647,101887
152,85470,28479,53.372,1.242,1.9271828947368421,1520000,18943,27519,101887,18943,27519,101887
153,29761,28487,53.708,0.9375,1.9207143790849672,1530000,18943,27391,101887,18943,27391,101887
154,30959,28502,54.031,1.3493,1.9170038961038962,1540000,18943,27391,101887,18943,27391,101887
155,45871,28571,54.25,0.7143,1.9092445161290323,1550000,18943,27263,101887,18943,27263,101887
156,31347,28587,54.569,1.4282,1.9061608974358974,1560000,18815,27263,101375,18815,27263,101375
157,32051,28607,54.881,1.1444,1.9013089171974522,1570000,18815,27135,101375,18815,27135,101375
158,34013,28636,55.175,2.4098,1.9045272151898733,1580000,18815,27007,100863,18815,27007,100863
159,86206,28756,55.291,0.9554,1.8985578616352201,1590000,18815,26879,100351,18815,26879,100351
160,28985,28758,55.636,3.1604,1.906444375,1600000,18815,27007,100351,18815,27007,100351
161,46296,28825,55.853,0.8242,1.8997223602484472,1610000,18815,26879,99839,18815,26879,99839
162,32573,28845,56.161,0.6201,1.8918234567901235,1620000,18687,26751,99839,18687,26751,99839
163,52631,28925,56.351,4.5479,1.9081184049079754,1630000,18943,27391,99839,18943,27391,99839
164,50251,29000,56.55,1.3885,1.90495,1640000,18943,27391,99839,18943,27391,99839
165,59171,29090,56.719,0.828,1.8984230303030303,1650000,18815,27391,99327,18815,27391,99327
166,47169,29158,56.931,1.2568,1.8945578313253013,1660000,18815,27263,99327,18815,27263,99327
167,43668,29216,57.16,1.343,1.8912550898203593,1670000,18687,27135,99327,18687,27135,99327
168,91743,29335,57.269,2.7697,1.8964839285714286,1680000,18943,27135,98815,18943,27135,98815
169,35460,29365,57.551,0.7366,1.8896207100591715,1690000,18815,27007,98303,18815,27007,98303
170,45045,29425,57.773,1.6303,1.888095294117647,1700000,18815,26879,97791,18815,26879,97791
171,70422,29526,57.915,0.6323,1.8807514619883041,1710000,18815,26879,97791,18815,26879,97791
172,19723,29440,58.422,1.7946,1.8802505813953487,1720000,18687,26751,97791,18687,26751,97791
173,48309,29507,58.629,1.6111,1.8786947976878612,1730000,18687,26623,97791,18687,26623,97791
174,19685,29423,59.137,1.2645,1.8751649425287356,1740000,18559,26623,97791,18559,26623,97791
175,66666,29516,59.288,2.7529,1.8801805714285715,1750000,18687,26623,97791,18687,26623,97791
176,29585,29517,59.626,1.4641,1.8778164772727273,1760000,18687,26623,97791,18687,26623,97791
177,24691,29484,60.031,0.7591,1.87149604519774,1770000,18559,26495,97279,18559,26495,97279
178,44444,29540,60.256,0.6682,1.8647359550561797,1780000,18559,26495,97279,18559,26495,97279
179,46511,29600,60.471,0.7995,1.8587849162011174,1790000,18559,26495,97279,18559,26495,97279
180,102040,29718,60.569,0.8093,1.8529544444444443,1800000,18431,26367,97279,18431,26367,97279
181,64516,29806,60.724,0.9391,1.8479055248618785,1810000,18431,26239,97279,18431,26239,97279
182,40160,29849,60.973,1.9584,1.8485126373626373,1820000,18431,26111,96767,18431,26111,96767
183,35842,29876,61.252,0.606,1.8417229508196722,1830000,18431,26111,96767,18431,26111,96767
184,85470,29982,61.369,1.0676,1.8375157608695651,1840000,18303,25983,96767,18303,25983,96767
185,48543,30044,61.575,0.9866,1.8329162162162163,1850000,18303,25855,96767,18303,25855,96767
186,53763,30116,61.761,2.766,1.8379327956989246,1860000,18431,25983,96767,18431,25983,96767
187,27173,30098,62.129,1.9991,1.8387946524064172,1870000,18431,25855,96255,18431,25855,96255
188,31746,30106,62.444,0.8249,1.8334015957446808,1880000,18303,25855,96255,18303,25855,96255
189,92592,30214,62.552,1.0234,1.829115873015873,1890000,18303,25727,96255,18303,25727,96255
190,47619,30273,62.762,1.538,1.8275836842105264,1900000,18303,25599,95743,18303,25599,95743
191,63291,30356,62.92,1.0433,1.8234774869109949,1910000,18303,25471,95743,18303,25471,95743
192,48780,30415,63.125,1.0083,1.8192317708333334,1920000,18175,25471,95743,18175,25471,95743
193,38610,30449,63.384,2.0422,1.8203870466321244,1930000,18303,25343,95743,18303,25343,95743
194,49504,30509,63.586,2.5159,1.8239721649484537,1940000,18431,25215,95743,18431,25215,95743
195,31545,30514,63.903,1.0108,1.8198020512820512,1950000,18431,25215,95231,18431,25215,95231
196,81967,30613,64.025,1.7229,1.8193076530612244,1960000,18303,25087,95231,18303,25087,95231
197,50000,30673,64.225,0.6215,1.8132274111675126,1970000,18303,25087,95231,18303,25087,95231
198,62893,30752,64.384,1.1993,1.8101267676767676,1980000,18303,24959,94719,18303,24959,94719
199,46728,30805,64.598,1.6232,1.8091874371859296,1990000,18175,24959,94207,18175,24959,94207
200,34965,30823,64.885,0.976,1.8050215,2000000,18175,24831,93695,18175,24831,93695
201,65789,30905,65.037,0.9197,1.8006169154228855,2010000,18175,24831,93695,18175,24831,93695
202,24271,30863,65.449,1.3183,1.798229207920792,2020000,18047,24831,93183,18047,24831,93183
203,29585,30857,65.787,1.0978,1.79477881773399,2030000,18047,24703,92671,18047,24703,92671
204,50251,30915,65.986,0.8754,1.7902720588235295,2040000,18047,24703,92671,18047,24703,92671
205,54347,30980,66.17,1.1931,1.787359024390244,2050000,17919,24575,92159,17919,24575,92159
206,32258,30986,66.48,0.7182,1.782168932038835,2060000,17919,24575,91647,17919,24575,91647
207,42553,31027,66.715,0.9593,1.7781937198067632,2070000,17919,24447,91135,17919,24447,91135
208,55248,31092,66.897,0.6102,1.7725783653846154,2080000,17791,24447,90623,17791,24447,90623
209,30864,31091,67.221,0.6438,1.7671775119617226,2090000,17791,24319,90623,17791,24319,90623
210,99009,31193,67.322,1.451,1.7656719047619047,2100000,17791,24319,90111,17791,24319,90111
211,28248,31177,67.676,1.0621,1.762337440758294,2110000,17791,24191,89599,17791,24191,89599
212,22573,31122,68.119,1.1901,1.7596382075471697,2120000,17663,24063,89087,17663,24063,89087
213,59523,31191,68.287,1.0534,1.7563225352112677,2130000,17663,24063,89087,17663,24063,89087
214,28328,31177,68.64,1.1056,1.7532817757009347,2140000,17663,23935,88575,17663,23935,88575
215,90909,31272,68.75,1.4046,1.75166,2150000,17663,23935,88063,17663,23935,88063
216,54945,31335,68.932,1.2076,1.7491412037037037,2160000,17535,23807,87551,17535,23807,87551
217,44642,31377,69.157,1.287,1.7470115207373271,2170000,17535,23807,87039,17535,23807,87039
218,24271,31335,69.569,1.5869,1.7462770642201835,2180000,17535,23679,86527,17535,23679,86527
219,42735,31373,69.804,1.5304,1.7452913242009132,2190000,17535,23679,86015,17535,23679,86015
220,44444,31415,70.029,0.7711,1.740863181818182,2200000,17407,23551,86015,17407,23551,86015
221,30211,31409,70.36,2.1636,1.7427760180995475,2210000,17407,23551,86015,17407,23551,86015
222,44052,31450,70.587,1.3325,1.740927927927928,2220000,17407,23423,86015,17407,23423,86015
223,46296,31495,70.803,1.0047,1.7376264573991032,2230000,17407,23423,85503,17407,23423,85503
224,103092,31593,70.9,0.7494,1.733214732142857,2240000,17407,23295,85503,17407,23295,85503
225,36764,31613,71.172,0.912,1.7295648888888888,2250000,17279,23295,85503,17279,23295,85503
226,97087,31708,71.275,0.7852,1.7253862831858406,2260000,17279,23167,84991,17279,23167,84991
227,62111,31776,71.436,3.4486,1.7329775330396475,2270000,17407,23551,84991,17407,23551,84991
228,104166,31873,71.532,0.6356,1.7281644736842106,2280000,17407,23423,84991,17407,23423,84991
229,45662,31915,71.751,1.0661,1.7252733624454148,2290000,17279,23423,84479,17279,23423,84479
230,78740,31998,71.878,1.0633,1.7223952173913044,2300000,17279,23295,84479,17279,23295,84479
