Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,672,672,14.879,24.4127,24.4127,10000,239615,241663,243711,239615,241663,243711
2,21008,1301,15.365,10.3708,17.39175,20000,229375,239615,243711,229375,239615,243711
3,26315,1905,15.745,3.8414,12.874966666666667,30000,216063,234495,242687,216063,234495,242687
4,22271,2469,16.195,2.7428,10.341925,40000,208895,229375,241663,208895,229375,241663
5,24691,3011,16.601,13.6895,11.01144,50000,197631,222207,241663,197631,222207,241663
6,38461,3558,16.862,2.0579,9.519183333333334,60000,191487,216063,241663,191487,216063,241663
7,28735,4067,17.211,3.0766,8.598814285714285,70000,177151,211967,241663,177151,211967,241663
8,48543,4593,17.417,8.4842,8.5844875,80000,146431,208895,241663,146431,208895,241663
9,29673,5069,17.754,3.3296,8.00061111111111,90000,133119,204799,241663,133119,204799,241663
10,17985,5461,18.31,2.1805,7.4186,100000,129023,197631,239615,129023,197631,239615
11,25906,5883,18.696,1.2959,6.861990909090909,110000,124927,192511,238591,124927,192511,238591
12,24813,6283,19.099,1.3244,6.400525,120000,121343,191487,237567,121343,191487,237567
13,23364,6657,19.528,2.2611,6.082107692307693,130000,103423,188415,236543,103423,188415,236543
14,46948,7091,19.741,1.0024,5.719271428571429,140000,102399,177151,235519,102399,177151,235519
15,30769,7475,20.066,1.0927,5.410833333333334,150000,100351,161791,234495,100351,161791,234495
16,41841,7879,20.305,1.7059,5.179275,160000,97791,146431,233471,97791,146431,233471
17,40160,8270,20.554,1.2709,4.949370588235294,170000,96767,136191,232447,96767,136191,232447
18,49261,8671,20.758,2.117,4.792016666666667,180000,94207,133119,231423,94207,133119,231423
19,188679,9129,20.811,0.8147,4.582684210526316,190000,86015,129535,230399,86015,129535,230399
20,51020,9520,21.007,1.3766,4.42238,200000,81407,129023,229375,81407,129023,229375
21,35714,9865,21.287,1.691,4.292314285714285,210000,78847,126975,227327,78847,126975,227327
22,33333,10191,21.587,2.4607,4.209059090909091,220000,76799,124927,226303,76799,124927,226303
23,23201,10445,22.018,2.225,4.122795652173913,230000,74751,122879,225279,74751,122879,225279
