Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,600,600,16.65,10.748,10.748,10000
2,12658,1146,17.443,3.8289,7.28845,20000
3,29239,1686,17.786,3.1953,5.924066666666667,30000
4,15898,2172,18.416,2.6106,5.0957,40000
5,25445,2658,18.81,2.1276,4.50208,50000
6,23640,3119,19.233,1.7563,4.04445,60000
7,48780,3601,19.438,1.7005,3.7096,70000
8,28011,4041,19.795,2.5518,3.564875,80000
9,26178,4460,20.177,1.5822,3.344577777777778,90000
10,30120,4875,20.509,2.0435,3.21447,100000
11,31545,5281,20.826,1.7121,3.0778909090909092,110000
12,40816,5695,21.071,1.8151,2.9726583333333334,120000
13,53763,6115,21.257,1.4658,2.856746153846154,130000
14,45454,6518,21.477,1.4625,2.757157142857143,140000
15,40322,6904,21.725,3.7381,2.8225533333333335,150000
16,47169,7293,21.937,0.631,2.68558125,160000
17,43478,7669,22.167,2.1126,2.651876470588235,170000
18,30303,8001,22.497,3.0163,2.6721222222222223,180000
19,29498,8319,22.837,1.7062,2.6212842105263157,190000
20,64102,8698,22.993,2.352,2.60782,200000
21,39525,9033,23.247,1.7431,2.566642857142857,210000
22,45871,9375,23.465,1.3178,2.5098772727272727,220000
23,46728,9713,23.679,1.0236,2.44525652173913,230000
24,48309,10047,23.886,1.0776,2.3882708333333333,240000
25,89285,10417,23.998,0.4007,2.308768,250000
26,22988,10641,24.433,1.5078,2.2779615384615384,260000
27,60975,10976,24.597,1.2673,2.2405296296296298,270000
28,38759,11265,24.855,1.7694,2.2237035714285716,280000
29,58479,11587,25.026,0.4462,2.1624103448275864,290000
30,26385,11808,25.405,1.397,2.136896666666667,300000
31,46948,12100,25.618,3.171,2.1702548387096776,310000
32,100000,12442,25.718,3.1206,2.199953125,320000
33,61349,12750,25.881,1.6545,2.1834242424242425,330000
34,35087,12993,26.166,2.3855,2.1893676470588237,340000
35,36231,13236,26.443,1.4923,2.1694514285714286,350000
36,45454,13501,26.664,0.862,2.1331333333333333,360000
37,31746,13714,26.979,1.4914,2.115789189189189,370000
38,32786,13927,27.285,1.5368,2.1005526315789473,380000
39,59880,14206,27.452,2.2372,2.10405641025641,390000
40,75187,14500,27.585,2.6195,2.1169425,400000
41,39062,14726,27.841,1.7123,2.107073170731707,410000
42,37735,14943,28.106,0.6961,2.0734785714285713,420000
43,33444,15138,28.405,1.1915,2.0529674418604653,430000
44,34364,15333,28.696,1.0716,2.0306636363636366,440000
45,47619,15567,28.906,1.0022,2.007808888888889,450000
46,90909,15853,29.016,1.1422,1.988991304347826,460000
47,112359,16148,29.105,1.1183,1.9704659574468084,470000
48,46948,16372,29.318,0.915,1.9484770833333334,480000
49,89285,16649,29.43,0.8858,1.9267897959183673,490000
50,25445,16765,29.823,1.222,1.912694,500000
51,91743,17038,29.932,1.4079,1.9027960784313724,510000
52,27624,17164,30.295,0.8315,1.8821942307692308,520000
53,25445,17270,30.688,1.245,1.8701716981132075,530000
54,46728,17474,30.902,1.195,1.8576685185185184,540000
55,70921,17717,31.043,3.792,1.8928381818181819,550000
56,43290,17906,31.274,2.0928,1.8964089285714285,560000
57,31645,18043,31.59,1.2249,1.8846280701754385,570000
58,49504,18243,31.792,0.5564,1.8617275862068965,580000
59,31847,18376,32.107,0.9906,1.8469627118644067,590000
60,93457,18625,32.214,1.5363,1.841785,600000
61,57471,18834,32.388,6.2185,1.9135344262295082,610000
62,30959,18953,32.711,6.8178,1.9926354838709677,620000
63,31152,19072,33.032,2.4109,1.9992746031746031,630000
64,51813,19262,33.225,1.5612,1.9924296875,640000
65,217391,19535,33.272,1.584,1.9861461538461538,650000
66,41666,19694,33.512,2.0138,1.9865651515151515,660000
67,47393,19867,33.723,0.9373,1.9709044776119402,670000
68,42735,20025,33.957,1.2418,1.9601823529411764,680000
69,107526,20264,34.05,3.3902,1.9809072463768116,690000
70,63694,20463,34.207,2.5556,1.9891171428571428,700000
71,43859,20617,34.436,2.773,2.000157746478873,710000
72,62893,20811,34.596,1.4151,1.9920319444444445,720000
73,24875,20858,34.998,1.2508,1.9818780821917807,730000
74,24752,20902,35.402,1.5589,1.9761621621621621,740000
75,92592,21120,35.51,3.1892,1.992336,750000
76,29498,21200,35.849,0.9722,1.9789131578947368,760000
77,92592,21414,35.957,4.1512,2.0071246753246754,770000
78,39840,21542,36.208,5.5822,2.0529589743589742,780000
79,50761,21700,36.405,1.1782,2.041886075949367,790000
