Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,756,756,13.227,1804.8799,1804.8799,10000
2,384615,1508,13.256,1658.6254,1731.75265,20000
3,85470,2243,13.373,234.5425,1232.6826,30000
4,19083,2878,13.897,526.619,1056.1667,40000
5,15197,3435,14.555,659.379,976.80916,50000
6,11655,3892,15.413,859.796,957.3069666666667,60000
7,11806,4305,16.26,850.3902,942.0331428571428,70000
8,14992,4726,16.927,675.4285,908.7075625,80000
9,16835,5136,17.521,597.1569,874.0908222222222,90000
10,16103,5511,18.143,624.5723,849.13897,100000
