Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,576,576,17.334,316.3034,316.3034,10000
2,149253,1149,17.405,214.3654,265.3344,20000
3,40000,1699,17.656,269.2,266.6229333333333,30000
4,14534,2180,18.344,689.9045,372.443325,40000
5,15408,2632,18.993,656.2052,429.1957,50000
6,17513,3066,19.564,573.226,453.20075,60000
7,12121,3433,20.389,831.1005,507.18642857142856,70000
8,14792,3797,21.066,683.4923,529.2246625,80000
9,13020,4121,21.835,772.1047,556.2113333333333,90000
10,16077,4452,22.457,625.2669,563.11689,100000
