Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,782,782,12.786,27.7251,27.7251,10000
2,23041,1512,13.223,15.1398,21.43245,20000
3,21978,2193,13.678,2.0711,14.978666666666667,30000
4,16129,2797,14.298,4.2606,12.29915,40000
5,20618,3382,14.783,2.4411,10.32754,50000
6,28653,3965,15.132,2.7892,9.07115,60000
7,30030,4526,15.466,2.0478,8.067814285714286,70000
8,21978,5024,15.921,3.8856,7.5450375,80000
9,19841,5479,16.425,1.6097,6.885555555555555,90000
10,33557,5979,16.723,1.318,6.3288,100000
