Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
106,56818,28950,36.614,3.48,1.80966320754717,1060000
107,35587,29001,36.895,1.4869,1.8066467289719625,1070000
108,46948,29104,37.108,0.7131,1.7965212962962962,1080000
109,40160,29177,37.357,0.4881,1.7845174311926606,1090000
110,45248,29272,37.578,1.5387,1.7822827272727273,1100000
111,42016,29352,37.816,1.0354,1.775554054054054,1110000
112,49261,29458,38.019,1.1761,1.7702017857142858,1120000
113,97087,29640,38.123,2.769,1.7790407079646018,1130000
114,29154,29636,38.466,1.3705,1.7754570175438595,1140000
115,56179,29758,38.644,0.8787,1.7676591304347826,1150000
116,121951,29953,38.727,1.592,1.7661448275862068,1160000
117,44642,30037,38.951,0.635,1.756476923076923,1170000
118,123456,30231,39.032,1.2544,1.752222033898305,1180000
119,46296,30320,39.248,0.7185,1.743535294117647,1190000
120,103092,30499,39.345,0.5309,1.73343,1200000
121,39062,30554,39.601,1.3312,1.730105785123967,1210000
122,33670,30577,39.898,1.4019,1.7274155737704917,1220000
123,74074,30724,40.033,0.7701,1.7196325203252032,1230000
124,29498,30713,40.373,2.0083,1.7219604838709677,1240000
125,55248,30822,40.555,1.5724,1.720764,1250000
126,29154,30808,40.898,1.469,1.718765873015873,1260000
127,55555,30916,41.078,1.6232,1.7180133858267717,1270000
128,71428,31054,41.218,1.8673,1.7191796875,1280000
129,46948,31136,41.431,1.191,1.7150852713178295,1290000
130,40000,31189,41.681,0.8656,1.7085507692307693,1300000
131,51020,31282,41.877,4.3809,1.7289503816793894,1310000
132,36363,31315,42.152,0.955,1.7230871212121213,1320000
133,136986,31497,42.225,0.7195,1.7155413533834587,1330000
134,44052,31565,42.452,0.7385,1.70825,1340000
135,42372,31624,42.688,1.3275,1.7054296296296296,1350000
136,34602,31644,42.977,0.5828,1.697175,1360000
137,38610,31686,43.236,0.8119,1.6907131386861314,1370000
138,33557,31699,43.534,1.8307,1.691727536231884,1380000
139,93457,31850,43.642,1.126,1.6876575539568346,1390000
140,23923,31774,44.06,0.9634,1.6824842857142857,1400000
141,42016,31829,44.298,0.792,1.676168794326241,1410000
142,58139,31931,44.47,1.3995,1.6742204225352113,1420000
143,120481,32096,44.553,1.1574,1.6706062937062938,1430000
144,48309,32171,44.76,1.1485,1.6669805555555555,1440000
145,44843,32234,44.983,1.1289,1.6632696551724138,1450000
146,20161,32102,45.479,1.6359,1.6630821917808218,1460000
147,30030,32087,45.812,0.7714,1.6570163265306121,1470000
148,45662,32152,46.031,0.8691,1.6516925675675675,1480000
149,41666,32201,46.271,1.0259,1.6474926174496645,1490000
150,33444,32209,46.57,1.5735,1.6469993333333333,1500000
151,45454,32271,46.79,3.6325,1.660148344370861,1510000
152,33557,32279,47.088,1.137,1.6567065789473685,1520000
153,47393,32347,47.299,0.8336,1.651326797385621,1530000
154,30030,32331,47.632,0.6975,1.645133116883117,1540000
155,34965,32346,47.918,0.5855,1.6382967741935484,1550000
156,22371,32254,48.365,1.4997,1.6374083333333334,1560000
157,24875,32193,48.767,0.6942,1.6314006369426752,1570000
158,43290,32246,48.998,1.498,1.630556329113924,1580000
159,81967,32369,49.12,1.2398,1.6280987421383648,1590000
160,29069,32346,49.464,0.7627,1.62269,1600000
161,149253,32504,49.531,0.7144,1.6170484472049689,1610000
162,47619,32568,49.741,0.7749,1.61185,1620000
163,55248,32650,49.923,1.257,1.6096730061349693,1630000
164,74626,32762,50.057,1.7605,1.6105926829268293,1640000
165,23923,32689,50.475,1.3371,1.6089351515151515,1650000
166,31055,32679,50.797,1.0744,1.6057150602409638,1660000
167,22624,32592,51.239,1.3565,1.604222754491018,1670000
168,49751,32659,51.44,3.3604,1.6146761904761904,1680000
169,20964,32551,51.917,1.2368,1.6124402366863906,1690000
170,30211,32537,52.248,1.6357,1.6125770588235293,1700000
171,57803,32620,52.421,0.8287,1.6079929824561403,1710000
172,55248,32698,52.602,1.2892,1.6061395348837209,1720000
173,107526,32830,52.695,2.291,1.6100982658959537,1730000
174,28169,32799,53.05,1.6658,1.6104183908045977,1740000
175,85470,32915,53.167,1.7189,1.6110382857142858,1750000
176,20576,32803,53.653,2.076,1.6136801136363637,1760000
177,26881,32762,54.025,1.2194,1.6114525423728814,1770000
178,43478,32808,54.255,1.2224,1.6092668539325843,1780000
179,16583,32629,54.858,0.9863,1.6057865921787708,1790000
180,28818,32605,55.206,0.861,1.601648888888889,1800000
181,27173,32569,55.574,1.6678,1.602014364640884,1810000
182,29761,32552,55.91,0.9835,1.598615934065934,1820000
183,43290,32596,56.141,1.4107,1.5975890710382514,1830000
184,51813,32662,56.334,1.5709,1.5974440217391304,1840000
185,30769,32650,56.66,0.7582,1.5929075675675675,1850000
186,18214,32512,57.209,0.9508,1.589455376344086,1860000
187,39682,32543,57.461,0.9628,1.5861042780748662,1870000
188,69444,32636,57.605,0.452,1.5800718085106382,1880000
189,32573,32635,57.912,0.768,1.5757751322751323,1890000
190,45871,32685,58.13,0.5316,1.5702794736842105,1900000
191,36363,32702,58.406,3.7173,1.5815204188481675,1910000
192,30303,32688,58.737,0.8641,1.5777838541666667,1920000
193,32894,32689,59.041,1.4323,1.5770300518134714,1930000
194,36231,32705,59.317,0.7533,1.5727840206185566,1940000
195,53763,32771,59.503,1.1702,1.5707194871794872,1950000
196,64935,32854,59.657,5.2978,1.5897352040816326,1960000
197,47393,32905,59.868,1.4977,1.5892680203045686,1970000
198,97087,33015,59.971,0.4297,1.583411616161616,1980000
199,45871,33062,60.189,2.0484,1.5857482412060302,1990000
200,39682,33090,60.441,0.9268,1.5824535,2000000
201,61728,33166,60.603,1.0805,1.5799562189054726,2010000
202,41841,33200,60.842,0.5563,1.5748886138613862,2020000
203,47393,33249,61.053,0.623,1.5701995073891626,2030000
204,38022,33270,61.316,1.0551,1.5676745098039215,2040000
205,26595,33229,61.692,1.1723,1.5657458536585367,2050000
206,45248,33272,61.913,0.7091,1.5615873786407768,2060000
207,29325,33250,62.254,1.365,1.5606376811594203,2070000
208,34482,33256,62.544,1.1124,1.5584826923076922,2080000
209,62500,33331,62.704,1.5149,1.5582741626794259,2090000
210,36101,33343,62.981,1.2414,1.5567652380952381,2100000
211,46296,33387,63.197,1.338,1.5557284360189574,2110000
212,39682,33412,63.449,0.7846,1.552091037735849,2120000
213,33670,33413,63.746,1.4452,1.5515892018779343,2130000
214,68027,33493,63.893,0.8539,1.5483289719626168,2140000
215,35211,33501,64.177,1.1976,1.5466976744186047,2150000
216,63694,33574,64.334,0.6051,1.5423384259259258,2160000
217,46948,33618,64.547,0.7675,1.538767741935484,2170000
218,59523,33686,64.715,3.4922,1.5477284403669724,2180000
219,28328,33657,65.068,1.337,1.546766210045662,2190000
220,22883,33584,65.506,1.7704,1.5477827272727274,2200000
221,48543,33631,65.712,2.0532,1.5500696832579186,2210000
222,42372,33662,65.949,1.0655,1.547886936936937,2220000
223,87719,33755,66.063,0.8839,1.5449094170403588,2230000
224,38759,33775,66.321,1.7093,1.5456433035714285,2240000
225,40000,33798,66.571,0.7795,1.5422382222222222,2250000
226,104166,33899,66.667,0.7498,1.5387318584070797,2260000
227,18018,33768,67.222,1.2182,1.5373198237885461,2270000
228,63694,33838,67.379,1.398,1.5367087719298245,2280000
229,98039,33935,67.481,0.7487,1.5332676855895198,2290000
230,45045,33971,67.703,0.7835,1.5300078260869565,2300000
231,109890,34073,67.794,0.7501,1.5266316017316017,2310000
232,30303,34055,68.124,1.563,1.5267883620689655,2320000
233,22727,33982,68.564,1.0154,1.5245935622317597,2330000
234,31250,33970,68.884,1.4492,1.5242713675213675,2340000
235,58479,34030,69.055,0.6756,1.52066,2350000
236,23041,33962,69.489,0.9596,1.518282627118644,2360000
237,108695,34061,69.581,2.7501,1.5234801687763713,2370000
238,35211,34065,69.865,3.9263,1.533576050420168,2380000
239,42016,34092,70.103,1.9129,1.535163179916318,2390000
240,55248,34147,70.284,0.8467,1.5322945833333332,2400000
241,66666,34216,70.434,1.2838,1.5312634854771785,2410000
242,41841,34242,70.673,0.8042,1.528259090909091,2420000
243,70422,34314,70.815,1.5849,1.5284921810699588,2430000
244,93457,34403,70.922,2.9004,1.5341147540983606,2440000
245,48780,34445,71.127,0.7359,1.5308567346938775,2450000
246,44247,34476,71.353,0.8513,1.5280943089430894,2460000
247,30769,34459,71.678,0.7537,1.524959109311741,2470000
248,40000,34478,71.928,0.8611,1.5222822580645161,2480000
249,44444,34509,72.153,1.0965,1.5205722891566265,2490000
250,31152,34495,72.474,0.9091,1.5181264,2500000
251,50761,34539,72.671,1.4169,1.517723107569721,2510000
252,19646,34435,73.18,1.071,1.515950396825397,2520000
253,101010,34525,73.279,1.6838,1.516613833992095,2530000
254,69444,34594,73.423,2.4983,1.5204787401574804,2540000
255,48543,34633,73.629,1.2538,1.5194329411764707,2550000
256,45248,34664,73.851,0.9513,1.517213671875,2560000
257,90909,34748,73.961,0.9508,1.5150097276264591,2570000
258,27027,34709,74.331,2.4974,1.5188174418604652,2580000
259,25445,34660,74.724,1.1594,1.5174297297297297,2590000
260,48309,34698,74.931,1.1868,1.516158076923077,2600000
261,33112,34692,75.233,1.4803,1.5160206896551724,2610000
262,68027,34757,75.38,0.7093,1.512941603053435,2620000
263,23255,34691,75.81,1.7539,1.5138577946768061,2630000
264,28818,34665,76.157,0.916,1.5115931818181818,2640000
265,36363,34671,76.432,0.8713,1.5091769811320754,2650000
266,53763,34717,76.618,1.3458,1.5085627819548872,2660000
267,30487,34699,76.946,0.8009,1.505912359550562,2670000
268,31948,34688,77.259,1.1455,1.5045675373134328,2680000
269,83333,34763,77.379,1.7974,1.5056561338289962,2690000
270,44843,34792,77.602,2.3802,1.5088951851851853,2700000
271,75757,34862,77.734,5.3975,1.5232442804428044,2710000
272,42735,34886,77.968,0.7935,1.5205613970588234,2720000
273,40650,34904,78.214,0.7093,1.5175897435897436,2730000
274,52356,34946,78.405,0.9231,1.5154200729927008,2740000
275,98039,35028,78.507,0.898,1.513174909090909,2750000
276,35714,35031,78.787,1.0677,1.5115608695652174,2760000
277,53191,35074,78.975,0.7398,1.5087747292418772,2770000
278,32258,35062,79.286,1.0607,1.5071629496402879,2780000
279,93457,35141,79.393,2.9459,1.5123197132616488,2790000
280,68493,35202,79.539,2.1002,1.5144192857142857,2800000
281,46082,35232,79.756,1.5888,1.5146839857651246,2810000
282,47619,35264,79.966,1.3038,1.513936170212766,2820000
283,31055,35248,80.288,0.8479,1.5115826855123675,2830000
284,24752,35195,80.692,1.065,1.5100102112676057,2840000
285,24937,35144,81.093,1.0155,1.5082750877192983,2850000
286,65789,35201,81.246,1.6881,1.5089038461538462,2860000
287,40000,35216,81.496,1.6129,1.5092662020905923,2870000
288,40816,35233,81.741,0.7276,1.5065520833333332,2880000
289,32894,35224,82.045,1.1452,1.5053017301038063,2890000
290,47619,35256,82.255,0.4812,1.5017703448275863,2900000
291,36231,35259,82.531,1.1708,1.5006329896907216,2910000
292,54644,35302,82.714,0.5657,1.4974311643835616,2920000
293,35714,35303,82.994,0.7523,1.4948880546075085,2930000
294,40650,35319,83.24,1.3621,1.4944363945578232,2940000
295,46948,35349,83.453,0.9271,1.492513220338983,2950000
296,102040,35427,83.552,2.0319,1.494335472972973,2960000
297,20040,35335,84.051,0.9399,1.492468686868687,2970000
298,38167,35344,84.313,1.3879,1.4921177852348992,2980000
299,37453,35350,84.581,0.7084,1.4894966555183946,2990000
300,28818,35324,84.928,2.5911,1.4931686666666666,3000000
301,26666,35285,85.303,1.478,1.4931182724252492,3010000
302,55555,35328,85.483,2.6476,1.4969410596026491,3020000
303,56497,35371,85.661,1.4055,1.4966392739273928,3030000
304,47393,35401,85.872,0.6241,1.4937690789473683,3040000
305,46296,35428,86.088,1.1821,1.4927472131147541,3050000
306,90909,35499,86.198,1.3669,1.4923359477124183,3060000
307,46948,35527,86.411,1.7188,1.4930736156351792,3070000
308,47846,35557,86.62,0.7837,1.4907704545454545,3080000
309,108695,35635,86.712,0.5637,1.4877702265372168,3090000
310,45871,35660,86.93,1.3904,1.487456129032258,3100000
311,29239,35635,87.272,1.9043,1.4887964630225081,3110000
312,58479,35680,87.443,1.9042,1.4901278846153847,3120000
313,48780,35711,87.648,0.7132,1.4876456869009584,3130000
314,44247,35732,87.874,1.9133,1.4890012738853504,3140000
315,32467,35721,88.182,0.878,1.4870615873015873,3150000
316,52631,35757,88.372,0.5607,1.4841300632911392,3160000
317,46948,35784,88.586,1.6977,1.484803785488959,3170000
318,37735,35790,88.851,1.0993,1.4835915094339622,3180000
319,117647,35868,88.936,2.1315,1.4856225705329154,3190000
320,51546,35902,89.13,1.2488,1.4848825,3200000
321,181818,35992,89.185,0.6355,1.4822364485981308,3210000
322,29850,35969,89.52,1.2395,1.481482608695652,3220000
323,47393,35996,89.731,1.1781,1.4805433436532507,3230000
324,23809,35939,90.151,0.9993,1.479058024691358,3240000
325,18832,35839,90.682,1.3244,1.4785821538461539,3250000
326,19305,35745,91.2,0.977,1.4770435582822086,3260000
327,32362,35734,91.509,1.2816,1.4764458715596331,3270000
328,42918,35752,91.742,1.9052,1.4777530487804877,3280000
329,48076,35780,91.95,1.212,1.4769452887537995,3290000
330,40160,35792,92.199,0.5687,1.4741930303030304,3300000
331,57803,35833,92.372,2.3842,1.4769422960725076,3310000
332,25974,35792,92.757,1.3055,1.4764259036144578,3320000
333,55248,35830,92.938,1.8323,1.4774945945945945,3330000
334,123456,35906,93.019,0.9599,1.4759449101796407,3340000
335,28735,35879,93.367,1.2331,1.47522,3350000
336,34364,35875,93.658,1.2567,1.4745696428571429,3360000
337,66666,35924,93.808,1.1631,1.4736454005934718,3370000
338,49504,35953,94.011,0.6336,1.4711600591715976,3380000
339,29411,35929,94.351,1.0734,1.469986725663717,3390000
340,44642,35950,94.575,1.392,1.4697573529411765,3400000
341,100000,36017,94.675,0.7093,1.4675272727272728,3410000
342,46948,36042,94.888,0.7847,1.465530701754386,3420000
343,62500,36086,95.049,3.1721,1.4705061224489795,3430000
344,108695,36156,95.141,1.8337,1.4715619186046511,3440000
345,18587,36058,95.679,0.9401,1.4700214492753623,3450000
346,46296,36081,95.895,0.8669,1.468278323699422,3460000
347,45045,36101,96.117,1.359,1.4679634005763689,3470000
348,45248,36122,96.338,0.8498,1.4661870689655172,3480000
349,109890,36192,96.429,0.4932,1.4633991404011462,3490000
350,55555,36228,96.609,1.0475,1.4622108571428571,3500000
351,54945,36263,96.791,1.732,1.4629794871794872,3510000
352,84745,36322,96.909,2.2195,1.4651286931818182,3520000
353,51546,36353,97.103,1.1034,1.4641039660056656,3530000
354,92592,36415,97.211,0.8672,1.4624177966101695,3540000
355,35460,36412,97.493,2.5145,1.4653814084507042,3550000
356,40816,36423,97.738,1.5579,1.4656412921348314,3560000
357,35714,36421,98.018,0.9705,1.4642543417366947,3570000
358,30864,36403,98.342,1.2817,1.4637444134078212,3580000
359,91743,36464,98.451,0.7242,1.461684401114206,3590000
360,37313,36467,98.719,1.2261,1.46103,3600000
361,25445,36423,99.112,1.6262,1.4614875346260388,3610000
362,92592,36484,99.22,1.1923,1.4607439226519336,3620000
363,44052,36501,99.447,1.3113,1.4603322314049587,3630000
364,36630,36502,99.72,1.4822,1.4603923076923078,3640000
365,40650,36512,99.966,1.0633,1.459304383561644,3650000
366,35587,36509,100.247,0.9019,1.4577814207650273,3660000
367,86956,36567,100.362,1.4847,1.4578547683923706,3670000
368,35587,36564,100.643,3.6086,1.4636991847826086,3680000
369,136986,36637,100.716,2.6238,1.4668430894308944,3690000
370,34722,36632,101.004,0.7707,1.4649616216216217,3700000
371,24096,36580,101.419,1.2664,1.4644264150943396,3710000
372,106382,36645,101.513,1.4434,1.4643698924731183,3720000
373,36900,36646,101.784,1.4018,1.4642021447721179,3730000
374,50505,36673,101.982,0.726,1.4622283422459894,3740000
375,91743,36731,102.091,2.129,1.4640064,3750000
376,46296,36752,102.307,1.063,1.4629398936170213,3760000
377,40160,36760,102.556,2.9667,1.4669286472148542,3770000
378,61728,36799,102.718,0.6577,1.4647878306878306,3780000
379,35714,36796,102.998,1.1356,1.4639192612137204,3790000
380,32051,36782,103.31,0.5453,1.4615018421052632,3800000
381,59171,36819,103.479,0.8017,1.4597700787401575,3810000
382,86206,36874,103.595,0.9631,1.458469895287958,3820000
383,64102,36915,103.751,2.0679,1.4600610966057441,3830000
384,47619,36936,103.961,0.8989,1.4585997395833334,3840000
385,44247,36952,104.187,1.5538,1.458847012987013,3850000
386,47846,36974,104.396,0.9743,1.4575917098445597,3860000
387,34129,36966,104.689,2.5479,1.4604090439276485,3870000
388,38022,36969,104.952,2.5942,1.4633311855670104,3880000
389,81967,37021,105.074,0.7051,1.4613820051413882,3890000
390,50761,37047,105.271,0.7633,1.4595920512820513,3900000
391,40485,37055,105.518,0.4893,1.4571104859335038,3910000
392,75187,37103,105.651,1.0583,1.456093112244898,3920000
393,45871,37121,105.869,1.6282,1.4565310432569976,3930000
394,106382,37182,105.963,0.5146,1.4541403553299492,3940000
395,54347,37212,106.147,1.0596,1.4531415189873418,3950000
396,32051,37197,106.459,1.2082,1.4525229797979797,3960000
397,56818,37229,106.635,0.7264,1.4506939546599495,3970000
398,46728,37248,106.849,0.9164,1.4493515075376884,3980000
399,44642,37264,107.073,0.7704,1.4476498746867168,3990000
400,66225,37305,107.224,2.2862,1.44974625,4000000
401,102040,37364,107.322,1.0734,1.4488077306733167,4010000
402,67114,37405,107.472,0.7947,1.4471805970149254,4020000
403,38022,37406,107.735,1.349,1.4469369727047146,4030000
404,108695,37467,107.828,0.5963,1.4448314356435643,4040000
405,29411,37441,108.168,1.0874,1.443948888888889,4050000
406,48076,37462,108.376,0.4149,1.4414142857142858,4060000
407,31948,37446,108.689,1.255,1.4409562653562653,4070000
408,81967,37496,108.811,2.0185,1.4423718137254902,4080000
409,27322,37462,109.177,0.815,1.4408378973105134,4090000
410,56179,37492,109.355,1.9932,1.4421851219512196,4100000
411,38910,37495,109.612,0.977,1.441053284671533,4110000
412,98039,37552,109.714,1.4007,1.4409553398058252,4120000
413,64516,37590,109.869,0.8174,1.4394455205811139,4130000
414,79365,37638,109.995,0.6951,1.4376475845410628,4140000
415,30030,37615,110.328,0.7527,1.4359971084337348,4150000
416,66666,37654,110.478,1.1863,1.435396875,4160000
417,41493,37662,110.719,0.599,1.4333911270983213,4170000
418,26455,37624,111.097,0.8209,1.431925837320574,4180000
419,98039,37680,111.199,0.9047,1.4306675417661099,4190000
420,44052,37693,111.426,0.879,1.4293540476190476,4200000
421,23584,37639,111.85,1.0722,1.428505700712589,4210000
422,53763,37666,112.036,1.0928,1.4277101895734596,4220000
423,48309,37686,112.243,1.1657,1.427090780141844,4230000
424,70921,37727,112.384,2.1167,1.428717216981132,4240000
425,67567,37767,112.532,1.5559,1.4290164705882353,4250000
426,67567,37806,112.68,2.0574,1.4304915492957746,4260000
427,30864,37786,113.004,1.5897,1.4308644028103044,4270000
428,34843,37778,113.291,1.2002,1.4303254672897197,4280000
429,103092,37834,113.388,2.5578,1.4329536130536131,4290000
430,37735,37834,113.653,0.6306,1.4310876744186047,4300000
431,88495,37884,113.766,0.6237,1.4292143851508121,4310000
432,47393,37902,113.977,0.9373,1.4280756944444444,4320000
433,42918,37912,114.21,1.6842,1.4286672055427252,4330000
434,46728,37929,114.424,2.4965,1.4311276497695853,4340000
435,30581,37908,114.751,0.7483,1.4295579310344828,4350000
436,30581,37887,115.078,1.0241,1.428627981651376,4360000
437,46296,37903,115.294,1.0399,1.4277384439359269,4370000
438,38314,37904,115.555,1.585,1.4280974885844748,4380000
439,39525,37907,115.808,0.8641,1.426812756264237,4390000
440,20661,37835,116.293,0.9321,1.425688409090909,4400000
441,91743,37885,116.402,0.6125,1.4238444444444445,4410000
442,46082,37901,116.619,0.8548,1.4225570135746606,4420000
443,18939,37815,117.147,1.0774,1.4217778781038375,4430000
444,32786,37802,117.452,1.8383,1.422715990990991,4440000
445,84033,37849,117.571,1.0143,1.4217982022471911,4450000
446,65789,37885,117.723,1.9408,1.4229618834080717,4460000
447,101010,37938,117.822,1.1245,1.42229418344519,4470000
448,43103,37948,118.054,2.1104,1.4238301339285715,4480000
449,43859,37960,118.282,2.408,1.4260220489977729,4490000
450,208333,38028,118.331,0.283,1.423482,4500000
451,37878,38028,118.595,0.7781,1.4220509977827052,4510000
452,52083,38051,118.787,0.5462,1.4201132743362832,4520000
453,35211,38044,119.071,0.7495,1.4186328918322295,4530000
454,67567,38081,119.219,1.1571,1.4180568281938326,4540000
455,48780,38099,119.424,2.1606,1.4196887912087912,4550000
456,101010,38151,119.523,1.8417,1.420614254385965,4560000
457,38461,38152,119.783,1.1273,1.4199724288840263,4570000
458,44642,38164,120.007,1.4906,1.4201266375545851,4580000
459,28571,38136,120.357,0.9526,1.4191080610021787,4590000
460,26041,38098,120.741,1.158,1.4185404347826087,4600000
461,55555,38124,120.921,2.9273,1.4218132321041215,4610000
462,48309,38141,121.128,1.063,1.42103658008658,4620000
463,28653,38114,121.477,1.6993,1.4216375809935204,4630000
464,133333,38172,121.552,1.0258,1.4207844827586207,4640000
465,64935,38206,121.706,1.3106,1.4205475268817205,4650000
466,54945,38231,121.888,2.253,1.422333905579399,4660000
467,45248,38244,122.109,1.349,1.4221768736616702,4670000
468,51546,38265,122.303,1.2436,1.4217952991452991,4680000
469,62893,38297,122.462,1.4482,1.4218515991471214,4690000
470,35335,38290,122.745,1.3069,1.4216070212765957,4700000
471,45871,38304,122.963,0.5823,1.4198250530785563,4710000
472,90909,38351,123.073,0.5737,1.4180324152542372,4720000
473,53475,38374,123.26,1.0171,1.417184778012685,4730000
474,44642,38385,123.484,0.8667,1.416023417721519,4740000
