Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,833,833,11.993,18.7576,18.7576,10000
2,30674,1623,12.322,8.0162,13.3869,20000
3,30211,2370,12.653,5.2586,10.677466666666668,30000
4,22421,3053,13.099,3.3491,8.845375,40000
5,19762,3675,13.605,2.0015,7.4766,50000
6,21834,4266,14.063,1.6586,6.5069333333333335,60000
7,44247,4898,14.289,2.6436,5.955028571428572,70000
8,32894,5482,14.593,1.8766,5.445225,80000
9,74074,6110,14.729,2.2195,5.086811111111111,90000
10,27777,6627,15.089,1.5583,4.73396,100000
11,22271,7079,15.538,1.8158,4.468672727272727,110000
12,69930,7652,15.681,1.2351,4.199208333333333,120000
13,51020,8187,15.877,1.0594,3.9576846153846152,130000
14,24937,8600,16.278,2.1673,3.8298,140000
15,87719,9150,16.392,3.3856,3.800186666666667,150000
16,34965,9593,16.678,1.2069,3.63810625,160000
17,51020,10074,16.874,2.0727,3.5460235294117646,170000
18,72463,10580,17.012,0.7956,3.393222222222222,180000
19,52631,11045,17.202,0.8329,3.2584684210526316,190000
20,50251,11493,17.401,1.2575,3.15842,200000
21,46728,11921,17.615,1.6307,3.0856714285714286,210000
22,34129,12285,17.908,1.0779,2.994409090909091,220000
23,63291,12731,18.066,1.4692,2.928095652173913,230000
24,28328,13030,18.419,1.8322,2.882433333333333,240000
25,32051,13346,18.732,2.9449,2.884932,250000
26,44444,13715,18.957,2.37,2.865126923076923,260000
27,128205,14184,19.035,2.016,2.833677777777778,270000
28,25125,14408,19.433,4.624,2.897617857142857,280000
29,30303,14673,19.763,0.8922,2.8284655172413795,290000
30,45045,15011,19.985,1.2978,2.7774433333333333,300000
31,34013,15286,20.279,0.9117,2.717258064516129,310000
32,45662,15611,20.498,0.8956,2.66033125,320000
33,31446,15853,20.816,1.5773,2.627512121212121,330000
34,39840,16138,21.067,0.6143,2.5683,340000
35,45248,16440,21.289,0.8546,2.5193371428571427,350000
36,109890,16838,21.38,0.8235,2.4722305555555555,360000
37,45045,17128,21.602,1.1381,2.436172972972973,370000
38,84033,17494,21.721,1.3998,2.4089,380000
39,63694,17826,21.878,1.1953,2.3777820512820513,390000
40,44843,18098,22.101,0.812,2.3386375,400000
41,49261,18382,22.304,1.0937,2.3082731707317072,410000
42,38759,18615,22.562,1.0721,2.278840476190476,420000
43,54054,18903,22.747,0.7841,2.2440790697674418,430000
44,92592,19251,22.855,1.196,2.220259090909091,440000
45,29411,19400,23.195,1.1658,2.1968266666666665,450000
46,19455,19401,23.709,1.464,2.180895652173913,460000
47,32679,19571,24.015,1.1981,2.1599851063829787,470000
48,93457,19898,24.122,0.8837,2.133395833333333,480000
49,62893,20180,24.281,1.1376,2.1130734693877553,490000
50,33783,20344,24.577,0.912,2.089052,500000
51,45045,20565,24.799,1.6479,2.0804019607843136,510000
52,33222,20717,25.1,1.548,2.0701634615384616,520000
53,56497,20967,25.277,1.3869,2.0572716981132078,530000
54,26737,21051,25.651,1.0753,2.039087037037037,540000
55,32258,21185,25.961,2.0676,2.0396054545454545,550000
56,65359,21444,26.114,1.2677,2.0258214285714287,560000
57,56179,21679,26.292,1.2525,2.0122543859649125,570000
58,34364,21818,26.583,0.7319,1.9901793103448275,580000
59,26666,21885,26.958,0.9605,1.9727271186440678,590000
60,22675,21898,27.399,1.3153,1.96177,600000
61,34965,22032,27.686,1.2923,1.950795081967213,610000
62,59171,22258,27.855,2.5589,1.9606032258064516,620000
63,26881,22319,28.227,1.762,1.9574507936507937,630000
64,87719,22582,28.341,1.1385,1.9446546875,640000
65,38461,22726,28.601,1.0711,1.9312153846153846,650000
66,78125,22973,28.729,2.0148,1.9324818181818182,660000
67,64516,23196,28.884,1.0341,1.9190731343283582,670000
68,68965,23424,29.029,1.1105,1.9071823529411764,680000
69,44052,23584,29.256,1.7688,1.905176811594203,690000
70,31545,23670,29.573,1.2546,1.8958828571428572,700000
71,47169,23837,29.785,0.5477,1.876894366197183,710000
72,86956,24080,29.9,1.3039,1.8689361111111111,720000
73,67114,24293,30.049,1.343,1.861731506849315,730000
74,37174,24407,30.318,1.4192,1.8557513513513513,740000
75,34246,24501,30.61,1.0633,1.8451853333333332,750000
76,69444,24711,30.755,2.5983,1.8550947368421054,760000
77,96153,24952,30.859,3.5699,1.877364935064935,770000
78,42735,25086,31.093,1.651,1.8744628205128204,780000
79,29239,25131,31.435,0.7635,1.8604,790000
80,72463,25338,31.573,2.2731,1.86555875,800000
81,23255,25310,32.003,1.0867,1.8559432098765432,810000
82,96153,25539,32.107,1.521,1.851858536585366,820000
83,59880,25717,32.274,0.6811,1.8377530120481929,830000
84,62500,25898,32.434,1.9347,1.8389071428571429,840000
85,50000,26046,32.634,2.7129,1.8491894117647059,850000
86,53763,26202,32.821,5.812,1.8952686046511629,860000
87,113636,26436,32.909,1.306,1.8884954022988505,870000
88,46511,26566,33.124,1.0643,1.8791295454545454,880000
89,89285,26778,33.236,0.8237,1.8672707865168539,890000
90,41152,26882,33.479,1.2634,1.860561111111111,900000
91,27472,26888,33.843,0.7473,1.8483274725274725,910000
92,68965,27068,33.988,2.047,1.8504869565217392,920000
93,89285,27272,34.1,1.271,1.8442559139784946,930000
94,27700,27277,34.461,2.0047,1.845962765957447,940000
95,90090,27478,34.572,2.5118,1.8529715789473684,950000
96,49751,27607,34.773,0.8085,1.8420916666666667,960000
97,37735,27684,35.038,1.242,1.8359051546391754,970000
98,59171,27834,35.208,0.7358,1.8246795918367347,980000
99,45045,27941,35.431,2.3282,1.8297656565656566,990000
100,41152,28031,35.674,0.8456,1.819924,1000000
101,52083,28160,35.866,0.8256,1.8100792079207921,1010000
102,111111,28368,35.956,1.842,1.810392156862745,1020000
103,42194,28458,36.193,1.5202,1.8075747572815535,1030000
104,104166,28658,36.289,1.1428,1.8011826923076923,1040000
105,67114,28816,36.438,1.0213,1.7937552380952382,1050000
