Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,687,687,14.537,16.9556,16.9556,10000,165887,169983,169983,165887,169983,169983
2,20408,1330,15.032,4.401,10.6783,20000,159743,165887,169983,159743,165887,169983
3,23640,1940,15.456,5.1014,8.819333333333333,30000,155647,162815,169983,155647,162815,169983
4,23529,2518,15.883,4.0644,7.6306,40000,128511,159743,169983,128511,159743,169983
5,24038,3067,16.3,5.393,7.18308,50000,96767,157695,169983,96767,157695,169983
6,16025,3545,16.925,2.3542,6.378266666666667,60000,91647,155647,167935,91647,155647,167935
7,43103,4079,17.158,1.6115,5.6973,70000,79359,146431,167935,79359,146431,167935
8,18484,4519,17.7,2.2816,5.2703375,80000,60415,128511,166911,60415,128511,166911
9,21186,4952,18.172,1.7475,4.878911111111111,90000,54015,110591,166911,54015,110591,166911
10,38022,5424,18.436,3.6469,4.75571,100000,52223,96767,165887,52223,96767,165887
11,23640,5832,18.859,2.9989,4.596,110000,50943,94719,165887,50943,94719,165887
12,24449,6227,19.268,1.2601,4.318008333333333,120000,49407,91647,164863,49407,91647,164863
13,70422,6697,19.41,4.775,4.3531615384615385,130000,47871,84479,163839,47871,84479,163839
14,35335,7109,19.693,2.1559,4.1962142857142855,140000,46591,79359,163839,46591,79359,163839
15,24691,7463,20.098,1.1384,3.99236,150000,45311,73727,162815,45311,73727,162815
16,36900,7854,20.37,1.1571,3.81515625,160000,43775,60415,162815,43775,60415,162815
17,32894,8222,20.674,1.3605,3.670764705882353,170000,42751,56575,161791,42751,56575,161791
18,30581,8571,21.001,1.547,3.5527777777777776,180000,41983,54015,161791,41983,54015,161791
19,52083,8964,21.194,1.0136,3.4191368421052633,190000,40703,52991,160767,40703,52991,160767
20,37313,9318,21.462,1.4342,3.31989,200000,40447,52223,159743,40447,52223,159743
21,26109,9613,21.845,2.4783,3.2798142857142856,210000,39679,51455,158719,39679,51455,158719
22,33003,9933,22.148,3.5118,3.290359090909091,220000,38399,50943,158719,38399,50943,158719
23,68493,10316,22.295,1.5861,3.2162608695652173,230000,36351,49663,157695,36351,49663,157695
24,47846,10664,22.504,0.5416,3.104816666666667,240000,35583,49407,157695,35583,49407,157695
25,62500,11030,22.664,0.7558,3.010856,250000,34559,48127,157695,34559,48127,157695
26,51546,11374,22.858,1.9537,2.9701961538461537,260000,34047,47871,157695,34047,47871,157695
27,46948,11702,23.072,0.9297,2.8946222222222224,270000,33535,47359,156671,33535,47359,156671
28,46511,12023,23.287,2.349,2.8751357142857144,280000,32639,46591,156671,32639,46591,156671
29,41322,12325,23.529,2.679,2.8683724137931033,290000,31999,46079,156671,31999,46079,156671
30,24813,12535,23.932,1.1418,2.81082,300000,31231,45311,155647,31231,45311,155647
31,34246,12797,24.224,1.0985,2.755583870967742,310000,30207,44287,155647,30207,44287,155647
32,48076,13097,24.432,0.8017,2.694525,320000,29695,43775,153599,29695,43775,153599
33,36630,13357,24.705,1.0283,2.6440333333333332,330000,28671,43007,151551,28671,43007,151551
34,113636,13713,24.793,1.133,2.599591176470588,340000,28031,42751,149503,28031,42751,149503
35,28328,13918,25.146,2.0214,2.5830714285714285,350000,27263,42495,146431,27263,42495,146431
36,34602,14153,25.435,2.597,2.583458333333333,360000,26623,41983,143359,26623,41983,143359
37,47169,14426,25.648,1.5683,2.5560216216216216,370000,26239,41215,139263,26239,41215,139263
38,29498,14622,25.987,3.0786,2.569773684210526,380000,27391,40703,136191,27391,40703,136191
39,86956,14941,26.102,2.4332,2.566271794871795,390000,27135,40703,132095,27135,40703,132095
40,46296,15198,26.319,3.0084,2.577325,400000,27391,40447,128511,27391,40447,128511
41,49751,15460,26.52,0.6552,2.5304439024390244,410000,27135,39935,124927,27135,39935,124927
42,49019,15716,26.724,1.2504,2.4999666666666664,420000,26879,39679,121343,26879,39679,121343
43,30395,15894,27.053,1.4739,2.4761046511627907,430000,26495,39167,117247,26495,39167,117247
44,53763,16153,27.239,0.7066,2.4358886363636363,440000,26239,38399,113663,26239,38399,113663
45,38910,16366,27.496,1.7375,2.420368888888889,450000,25855,37119,110591,25855,37119,110591
46,70422,16643,27.639,1.3739,2.3976195652173913,460000,25727,36351,107519,25727,36351,107519
47,56179,16895,27.818,1.251,2.3732234042553193,470000,25471,36095,104447,25471,36095,104447
48,53191,17139,28.006,0.7429,2.3392583333333334,480000,25215,35583,100351,25215,35583,100351
49,28571,17279,28.357,1.1888,2.3157795918367348,490000,24959,35071,96767,24959,35071,96767
50,30864,17433,28.681,2.3171,2.315806,500000,24831,34559,96767,24831,34559,96767
51,32786,17594,28.987,1.697,2.3036725490196077,510000,24575,34303,96255,24575,34303,96255
52,32573,17751,29.294,0.6926,2.2726903846153848,520000,24191,34047,95743,24191,34047,95743
53,46511,17960,29.509,0.9999,2.248675471698113,530000,23935,33535,95743,23935,33535,95743
54,34722,18122,29.797,0.8647,2.2230462962962965,540000,23679,33535,95231,23679,33535,95231
55,84745,18385,29.915,2.421,2.2266454545454546,550000,23423,33023,94719,23423,33023,94719
56,28169,18500,30.27,0.9107,2.2031464285714284,560000,23167,32639,94207,23167,32639,94207
57,49504,18705,30.473,1.0076,2.182171929824561,570000,23039,32383,93695,23039,32383,93695
58,16501,18661,31.08,1.7793,2.1752258620689657,580000,22783,31999,93183,22783,31999,93183
59,62111,18885,31.241,2.3861,2.1788,590000,22783,31487,92671,22783,31487,92671
60,49019,19080,31.446,1.3593,2.1651416666666665,600000,22527,31231,91647,22527,31231,91647
61,51282,19278,31.641,1.5757,2.1554786885245902,610000,22271,30847,90111,22271,30847,90111
62,71428,19508,31.781,1.1359,2.139033870967742,620000,22143,30719,88575,22143,30719,88575
63,42553,19677,32.016,1.293,2.125604761904762,630000,21887,30463,87039,21887,30463,87039
64,32154,19797,32.327,1.2415,2.111790625,640000,21631,30079,85503,21631,30079,85503
65,34246,19927,32.619,1.2224,2.0981076923076922,650000,21375,30079,84479,21375,30079,84479
66,29850,20027,32.954,0.9584,2.080839393939394,660000,21119,30079,83455,21119,30079,83455
67,40322,20179,33.202,2.1043,2.081189552238806,670000,20991,29951,82431,20991,29951,82431
68,35211,20306,33.486,1.246,2.0689073529411766,680000,20735,29823,81407,20735,29823,81407
69,26954,20379,33.857,1.6858,2.063355072463768,690000,20607,29695,80383,20607,29695,80383
70,64516,20580,34.012,0.9785,2.047857142857143,700000,20479,29567,79359,20479,29567,79359
71,53475,20760,34.2,1.3345,2.0378098591549296,710000,20223,29183,78335,20223,29183,78335
72,112359,20997,34.289,1.5751,2.0313833333333333,720000,19967,29055,76799,19967,29055,76799
73,45871,21155,34.507,1.1245,2.0189602739726027,730000,19839,28799,75263,19839,28799,75263
74,67567,21353,34.655,1.409,2.0107175675675677,740000,19711,28543,74239,19711,28543,74239
75,31847,21447,34.969,2.538,2.017748,750000,20223,28287,73727,20223,28287,73727
76,65359,21638,35.122,1.468,2.0105144736842107,760000,19967,28031,71679,19967,28031,71679
77,64516,21827,35.277,1.0357,1.9978545454545455,770000,19839,27903,68607,19839,27903,68607
78,58823,22004,35.447,1.5527,1.9921474358974358,780000,19711,27775,65535,19711,27775,65535
79,41322,22135,35.689,1.4553,1.9853518987341772,790000,19583,27519,62975,19583,27519,62975
80,56179,22304,35.867,1.3043,1.97683875,800000,19455,27391,60415,19455,27391,60415
81,43103,22438,36.099,1.1816,1.967020987654321,810000,19455,27391,58367,19455,27391,58367
82,33333,22528,36.399,1.8385,1.9654536585365854,820000,19327,27135,57599,19327,27135,57599
83,45248,22665,36.62,1.379,1.958387951807229,830000,19327,27135,57343,19327,27135,57343
84,54347,22823,36.804,3.1925,1.973079761904762,840000,19455,27391,56831,19455,27391,56831
85,71428,23007,36.945,1.6517,1.9692988235294118,850000,19455,27263,56575,19455,27263,56575
86,33003,23087,37.249,1.1638,1.9599325581395348,860000,19327,27135,56063,19327,27135,56063
87,107526,23298,37.342,0.8738,1.947448275862069,870000,19327,27135,55807,19327,27135,55807
88,35335,23388,37.625,1.4877,1.9422238636363636,880000,19327,27007,55039,19327,27007,55039
89,54945,23540,37.807,1.1728,1.9335786516853932,890000,19199,26879,54015,19199,26879,54015
90,70422,23716,37.949,0.8952,1.922041111111111,900000,19071,26623,54015,19071,26623,54015
91,36231,23806,38.225,1.6655,1.919221978021978,910000,18943,26495,53759,18943,26495,53759
92,51282,23945,38.42,2.0206,1.9203239130434782,920000,19199,26495,53503,19199,26495,53503
93,60606,24102,38.585,1.3252,1.9139247311827956,930000,19071,26367,53503,19071,26367,53503
94,44052,24219,38.812,1.6028,1.9106148936170213,940000,19071,26239,53247,19071,26239,53247
95,52356,24357,39.003,2.2361,1.914041052631579,950000,19199,26111,52991,19199,26111,52991
96,81967,24536,39.125,1.2556,1.9071822916666668,960000,19071,25983,52735,19071,25983,52735
97,42194,24643,39.362,1.9,1.9071082474226804,970000,19071,25855,52479,19071,25855,52479
98,97087,24831,39.466,1.6276,1.9042561224489796,980000,18943,25727,52479,18943,25727,52479
99,51546,24962,39.66,0.8175,1.8932787878787878,990000,18943,25599,52223,18943,25599,52223
100,104166,25153,39.756,1.0522,1.884868,1000000,18815,25471,52223,18815,25471,52223
101,68493,25312,39.902,1.1339,1.8774326732673268,1010000,18687,25471,51967,18687,25471,51967
102,41493,25409,40.143,2.2901,1.881478431372549,1020000,18687,25343,51967,18687,25343,51967
103,129870,25609,40.22,2.4837,1.8873252427184466,1030000,18687,25215,51711,18687,25215,51711
104,46082,25719,40.437,1.5193,1.8837865384615384,1040000,18687,25215,51455,18687,25215,51455
105,109890,25908,40.528,0.7434,1.8729257142857143,1050000,18559,25087,51455,18559,25087,51455
106,38461,25988,40.788,1.7879,1.8721235849056603,1060000,18559,24959,51199,18559,24959,51199
107,23584,25963,41.212,1.5695,1.8692953271028037,1070000,18431,24959,51199,18431,24959,51199
108,26595,25969,41.588,0.7616,1.859038888888889,1080000,18303,24831,51199,18303,24831,51199
109,90909,26140,41.698,2.4199,1.8641844036697248,1090000,18431,24703,50943,18431,24703,50943
110,23310,26111,42.127,1.927,1.8647554545454545,1100000,18431,24575,50943,18431,24575,50943
111,53191,26231,42.315,0.496,1.8524243243243244,1110000,18431,24447,50175,18431,24447,50175
112,104166,26408,42.411,0.5535,1.8408267857142857,1120000,18303,24319,49919,18303,24319,49919
113,21739,26358,42.871,1.6009,1.838703539823009,1130000,18303,24191,49919,18303,24191,49919
114,33557,26407,43.169,1.082,1.8320657894736843,1140000,18175,24063,49663,18175,24063,49663
115,81967,26564,43.291,0.7778,1.8228982608695652,1150000,18047,23935,49663,18047,23935,49663
116,38910,26637,43.548,0.6341,1.81265,1160000,17919,23935,49663,17919,23935,49663
117,54945,26755,43.73,1.2691,1.8080042735042734,1170000,17919,23807,49663,17919,23807,49663
118,46511,26851,43.945,1.6492,1.8066584745762713,1180000,17791,23807,49407,17791,23807,49407
119,35587,26907,44.226,0.6917,1.7972890756302522,1190000,17663,23807,49407,17663,23807,49407
120,40816,26983,44.471,0.6368,1.7876183333333333,1200000,17535,23679,49407,17535,23679,49407
121,30864,27011,44.795,0.918,1.7804314049586776,1210000,17535,23679,49151,17535,23679,49151
