Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
122,23866,26982,45.214,0.9662,1.7737573770491804,1220000,17407,23551,48895,17407,23551,48895
123,32894,27021,45.519,1.0495,1.767869105691057,1230000,17407,23423,48639,17407,23423,48639
124,84033,27170,45.638,0.8741,1.7606612903225807,1240000,17407,23295,48383,17407,23295,48383
125,41152,27244,45.881,2.244,1.764528,1250000,17407,23295,48127,17407,23295,48127
126,54644,27353,46.064,0.6751,1.755881746031746,1260000,17407,23167,48127,17407,23167,48127
127,66666,27480,46.215,2.64,1.762843307086614,1270000,17407,23295,47871,17407,23295,47871
128,31055,27504,46.537,2.3908,1.76774921875,1280000,17663,23295,47871,17663,23295,47871
129,106382,27663,46.632,2.404,1.7726813953488372,1290000,17791,23295,47871,17791,23295,47871
130,48543,27755,46.838,1.5617,1.7710584615384615,1300000,17663,23295,47871,17663,23295,47871
131,21598,27694,47.301,1.1455,1.7662832061068703,1310000,17535,23167,47615,17535,23167,47615
132,90909,27841,47.411,1.2121,1.7620848484848486,1320000,17535,23039,47359,17535,23039,47359
133,45871,27924,47.629,0.6831,1.753972180451128,1330000,17535,23039,47359,17535,23039,47359
134,95238,28072,47.734,1.0493,1.748713432835821,1340000,17407,22911,47359,17407,22911,47359
135,46296,28153,47.951,0.9112,1.7425096296296296,1350000,17407,22911,47359,17407,22911,47359
136,59523,28263,48.119,0.9246,1.7364955882352942,1360000,17407,22783,47103,17407,22783,47103
137,30487,28278,48.447,1.9321,1.7379233576642337,1370000,17407,22783,47103,17407,22783,47103
138,64102,28393,48.603,1.3504,1.7351152173913043,1380000,17279,22783,46847,17279,22783,46847
139,44843,28468,48.826,2.9855,1.7441107913669065,1390000,17407,23039,46591,17407,23039,46591
140,47846,28551,49.035,1.2284,1.740427142857143,1400000,17407,22911,46591,17407,22911,46591
141,38759,28603,49.294,0.6916,1.7329886524822695,1410000,17407,22911,46591,17407,22911,46591
142,113636,28755,49.382,1.2526,1.729605633802817,1420000,17279,22783,46335,17279,22783,46335
143,62111,28863,49.543,0.4768,1.7208447552447552,1430000,17279,22783,46079,17279,22783,46079
144,50000,28948,49.743,1.0363,1.7160909722222222,1440000,17279,22783,46079,17279,22783,46079
145,30030,28955,50.076,0.9813,1.7110234482758622,1450000,17151,22655,46079,17151,22655,46079
146,44247,29024,50.302,1.1913,1.707463698630137,1460000,17151,22655,45823,17151,22655,45823
147,47169,29100,50.514,0.7471,1.700930612244898,1470000,17023,22527,45823,17023,22527,45823
148,45871,29172,50.732,0.9696,1.6959891891891892,1480000,17023,22527,45823,17023,22527,45823
149,57142,29269,50.907,0.6897,1.6892355704697986,1490000,16895,22399,45567,16895,22399,45567
150,27855,29259,51.266,1.655,1.6890073333333333,1500000,16895,22399,45311,16895,22399,45311
151,93457,29392,51.373,0.6375,1.6820437086092714,1510000,16767,22399,45311,16767,22399,45311
152,45662,29461,51.592,0.9083,1.6769532894736843,1520000,16767,22271,45055,16767,22271,45055
153,46082,29531,51.809,0.8056,1.6712581699346405,1530000,16639,22271,44799,16639,22271,44799
154,30674,29538,52.135,0.8703,1.666057142857143,1540000,16639,22271,44543,16639,22271,44543
155,43478,29599,52.365,0.8494,1.6607883870967741,1550000,16639,22143,44287,16639,22143,44287
156,103092,29735,52.462,0.2319,1.6516288461538462,1560000,16511,22143,44031,16511,22143,44031
157,31847,29748,52.776,1.0055,1.6475133757961784,1570000,16511,22143,44031,16511,22143,44031
158,42194,29804,53.013,1.7734,1.6483101265822784,1580000,16511,22015,44031,16511,22015,44031
159,53763,29887,53.199,0.9425,1.64387106918239,1590000,16511,22015,43775,16511,22015,43775
160,65359,29989,53.352,0.7777,1.6384575,1600000,16511,22015,43775,16511,22015,43775
161,23094,29933,53.785,2.5028,1.6438260869565218,1610000,16639,22271,43519,16639,22271,43519
162,57471,30022,53.959,1.7806,1.6446703703703704,1620000,16639,22271,43263,16639,22271,43263
163,85470,30142,54.076,1.5782,1.6442625766871166,1630000,16639,22143,43263,16639,22143,43263
164,117647,30280,54.161,1.6165,1.6440932926829268,1640000,16639,22143,43263,16639,22143,43263
165,21321,30203,54.63,0.96,1.6399472727272728,1650000,16511,22143,43007,16511,22143,43007
166,56179,30287,54.808,2.2229,1.6434590361445782,1660000,16511,22143,43007,16511,22143,43007
167,64516,30384,54.963,0.7612,1.6381760479041916,1670000,16511,22015,42751,16511,22015,42751
168,84033,30499,55.082,0.5799,1.6318767857142857,1680000,16511,22015,42751,16511,22015,42751
169,45662,30560,55.301,1.1883,1.629252071005917,1690000,16511,22015,42751,16511,22015,42751
170,49261,30628,55.504,0.7265,1.6239417647058823,1700000,16383,21887,42751,16383,21887,42751
171,67114,30726,55.653,0.6655,1.618336842105263,1710000,16319,21887,42751,16319,21887,42751
172,29154,30716,55.996,1.3569,1.6168168604651163,1720000,16319,21887,42751,16319,21887,42751
173,33333,30730,56.296,0.9877,1.6131803468208092,1730000,16255,21759,42495,16255,21759,42495
174,86956,30845,56.411,2.8548,1.620316091954023,1740000,16319,21887,42495,16319,21887,42495
175,44247,30898,56.637,1.4448,1.6193131428571428,1750000,16255,21887,42495,16255,21887,42495
176,32786,30908,56.942,1.1473,1.61663125,1760000,16191,21759,42239,16191,21759,42239
177,40983,30951,57.186,5.4268,1.638157627118644,1770000,16511,22271,45823,16511,22271,45823
178,44642,31005,57.41,0.6001,1.6323258426966292,1780000,16511,22271,45823,16511,22271,45823
179,41493,31048,57.651,1.331,1.6306424581005587,1790000,16511,22271,45823,16511,22271,45823
180,107526,31172,57.744,2.437,1.6351222222222221,1800000,16639,22399,45567,16639,22399,45567
181,64935,31261,57.898,0.4428,1.6285348066298342,1810000,16639,22399,45567,16639,22399,45567
182,108695,31384,57.99,2.4758,1.6331901098901098,1820000,16767,22399,45311,16767,22399,45311
183,44444,31435,58.215,0.7917,1.6285918032786886,1830000,16767,22399,45055,16767,22399,45055
184,20920,31349,58.693,0.9662,1.624991847826087,1840000,16767,22399,45055,16767,22399,45055
185,93457,31462,58.8,0.6013,1.6194583783783785,1850000,16639,22271,44799,16639,22271,44799
186,25000,31418,59.2,1.5299,1.6189768817204302,1860000,16639,22271,44543,16639,22271,44543
187,113636,31540,59.288,0.8976,1.6151192513368984,1870000,16639,22271,44543,16639,22271,44543
188,39840,31575,59.539,1.2698,1.6132824468085107,1880000,16511,22271,44287,16511,22271,44287
189,33333,31584,59.839,0.8812,1.6094089947089947,1890000,16511,22143,44287,16511,22143,44287
190,42016,31626,60.077,1.3701,1.6081494736842106,1900000,16511,22143,44031,16511,22143,44031
191,30303,31618,60.407,1.0035,1.6049837696335079,1910000,16511,22143,44031,16511,22143,44031
192,102040,31732,60.505,0.5344,1.5994078125,1920000,16383,22143,44031,16383,22143,44031
193,30395,31725,60.835,0.7722,1.595121761658031,1930000,16319,22015,43775,16319,22015,43775
194,46511,31777,61.05,1.9926,1.597170618556701,1940000,16511,22015,43775,16511,22015,43775
195,49504,31835,61.252,0.8713,1.593448205128205,1950000,16383,22015,43519,16383,22015,43519
196,64102,31917,61.408,1.1722,1.5912989795918366,1960000,16383,22015,43519,16383,22015,43519
