Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,553,553,18.066,21.1984,21.1984,10000
2,16863,1071,18.662,4.1551,12.67675,20000
3,37174,1584,18.931,2.6926,9.3487,30000
4,18832,2055,19.462,5.724,8.442525,40000
5,31055,2527,19.785,11.0398,8.96198,50000
6,25575,2973,20.177,3.0535,7.977233333333333,60000
7,22727,3395,20.617,1.7607,7.089157142857143,70000
8,22675,3799,21.058,2.5565,6.522575,80000
9,24509,4192,21.466,3.7281,6.212077777777778,90000
10,19305,4548,21.984,8.1032,6.40119,100000
11,32051,4933,22.296,10.5952,6.782463636363636,110000
12,24630,5285,22.702,2.3698,6.414741666666667,120000
13,52356,5678,22.894,1.5355,6.039415384615385,130000
14,23310,6002,23.324,3.0935,5.8289928571428575,140000
15,52083,6378,23.516,3.1032,5.647273333333334,150000
16,28490,6703,23.867,1.5502,5.39120625,160000
17,32894,7033,24.171,1.2009,5.144717647058823,170000
18,66666,7401,24.321,1.718,4.954344444444445,180000
19,100000,7780,24.421,1.2524,4.7595052631578945,190000
20,37735,8101,24.686,2.1408,4.62857,200000
21,31446,8398,25.004,2.3306,4.519142857142858,210000
22,23809,8652,25.425,1.7038,4.3911727272727274,220000
23,95238,9008,25.531,1.737,4.275773913043478,230000
24,21786,9234,25.99,1.4892,4.159666666666666,240000
25,34965,9514,26.276,1.526,4.05432,250000
26,56179,9828,26.454,2.2345,3.984326923076923,260000
27,23980,10048,26.871,1.144,3.8791296296296296,270000
28,34013,10307,27.166,1.649,3.799482142857143,280000
29,30864,10548,27.491,1.536,3.721431034482759,290000
30,34482,10798,27.781,1.3607,3.64274,300000
31,55865,11087,27.96,2.1616,3.5949612903225807,310000
32,51813,11366,28.153,1.2619,3.522053125,320000
33,47846,11635,28.362,1.9622,3.4747848484848487,330000
34,30030,11848,28.695,1.255,3.4094970588235296,340000
35,39840,12091,28.946,2.9955,3.3976685714285715,350000
36,31847,12303,29.26,0.9813,3.330547222222222,360000
37,56179,12568,29.438,1.3156,3.276089189189189,370000
38,49261,12820,29.641,2.2597,3.2493421052631577,380000
39,113636,13118,29.729,1.6577,3.2085307692307694,390000
40,24509,13272,30.137,1.1276,3.1565075,400000
41,88495,13552,30.252,1.9489,3.1270536585365853,410000
42,48309,13789,30.459,1.4159,3.0863119047619048,420000
43,16339,13839,31.071,1.831,3.057118604651163,430000
44,31746,14018,31.387,2.1264,3.0359659090909092,440000
45,93457,14288,31.494,1.4853,3.0015066666666668,450000
46,32051,14462,31.806,1.2565,2.9635717391304346,460000
47,40650,14663,32.052,1.5451,2.933391489361702,470000
48,41666,14864,32.292,1.2044,2.8973708333333335,480000
49,73529,15110,32.428,1.2095,2.8629244897959185,490000
50,52083,15328,32.62,2.491,2.855486,500000
51,48309,15535,32.827,1.9256,2.8372529411764704,510000
52,39370,15718,33.081,1.1695,2.8051807692307693,520000
53,20576,15789,33.567,0.9002,2.7692377358490567,530000
54,47169,15986,33.779,1.0456,2.7373185185185185,540000
55,30674,16126,34.106,0.9799,2.7053654545454546,550000
56,31847,16269,34.42,0.6153,2.668042857142857,560000
57,45045,16454,34.642,2.6628,2.6679508771929825,570000
58,106382,16696,34.737,2.0655,2.6575637931034484,580000
59,36101,16850,35.014,2.0787,2.6477525423728814,590000
60,36231,17001,35.29,2.0737,2.638185,600000
61,38461,17158,35.55,0.5202,2.6034639344262294,610000
62,48543,17339,35.756,0.4163,2.5681870967741935,620000
63,49019,17519,35.96,0.9759,2.5429126984126986,630000
64,27027,17616,36.33,1.1288,2.5208171875,640000
65,64102,17815,36.486,4.3358,2.54874,650000
66,47619,17985,36.696,0.8999,2.5237575757575756,660000
67,56179,18169,36.874,0.4544,2.492871641791045,670000
68,34602,18297,37.163,1.2061,2.4739485294117647,680000
69,34722,18424,37.451,1.1666,2.4550014492753625,690000
70,41666,18572,37.691,1.0799,2.4353571428571428,700000
71,60606,18755,37.856,1.2929,2.4192661971830987,710000
72,40983,18897,38.1,1.0533,2.4002944444444445,720000
73,60606,19077,38.265,2.3028,2.398958904109589,730000
74,32051,19181,38.578,2.111,2.3950675675675677,740000
75,29069,19269,38.922,1.2621,2.379961333333333,750000
76,33333,19376,39.222,1.0204,2.3620723684210527,760000
77,39062,19504,39.478,1.3267,2.348625974025974,770000
78,53475,19664,39.665,1.1016,2.3326384615384614,780000
79,34246,19771,39.957,1.041,2.3162886075949367,790000
80,28328,19845,40.311,1.9473,2.31167625,800000
81,31347,19935,40.631,3.0919,2.3213086419753086,810000
82,84745,20123,40.749,1.1315,2.3067987804878047,820000
83,54945,20278,40.931,1.5271,2.2974048192771086,830000
84,93457,20468,41.038,0.8358,2.280004761904762,840000
85,23041,20495,41.472,0.8007,2.2626011764705884,850000
86,33557,20588,41.77,2.5412,2.2658406976744185,860000
87,90909,20773,41.88,1.3337,2.2551264367816093,870000
88,28409,20837,42.232,2.241,2.254965909090909,880000
89,53475,20981,42.419,1.2395,2.2435561797752808,890000
90,50000,21116,42.62,1.3316,2.2334233333333335,900000
91,23866,21143,43.039,2.4951,2.236298901098901,910000
92,23474,21165,43.466,2.0654,2.234441304347826,920000
93,47846,21293,43.675,2.6324,2.2387204301075267,930000
94,36900,21389,43.946,0.9394,2.2248978723404256,940000
95,113636,21574,44.034,1.2538,2.2146757894736844,950000
96,42372,21684,44.271,4.6735,2.2402885416666667,960000
97,64102,21831,44.432,1.5303,2.2329690721649484,970000
98,26109,21867,44.815,2.1259,2.231876530612245,980000
99,32573,21940,45.122,2.1668,2.231219191919192,990000
