Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,599,599,16.669,21.8206,21.8206,10000
2,16181,1156,17.29,4.1479,12.98425,20000
3,20242,1686,17.784,3.4844,9.817633333333333,30000
4,28248,2205,18.138,4.2633,8.42905,40000
5,24691,2696,18.543,3.7461,7.49246,50000
6,22883,3161,18.98,1.6473,6.518266666666666,60000
7,30487,3625,19.308,2.1136,5.889028571428572,70000
8,33557,4080,19.606,1.9029,5.3907625,80000
9,15748,4446,20.241,2.2253,5.039044444444444,90000
10,33003,4867,20.544,1.4162,4.67676,100000
11,24330,5249,20.955,1.2544,4.365636363636364,110000
12,31545,5641,21.272,0.8829,4.075408333333334,120000
13,32467,6024,21.58,1.3419,3.8651384615384616,130000
14,23255,6360,22.01,1.004,3.6607714285714286,140000
15,46082,6748,22.227,1.1177,3.491233333333333,150000
16,84033,7160,22.346,2.9135,3.455125,160000
17,32679,7504,22.652,1.7869,3.356994117647059,170000
18,86206,7905,22.768,8.3896,3.6365833333333333,180000
19,40322,8255,23.016,2.9194,3.5988368421052632,190000
20,38314,8592,23.277,1.6505,3.50142,200000
21,36900,8917,23.548,1.0731,3.3857857142857144,210000
22,29761,9211,23.884,2.1926,3.33155,220000
23,46948,9544,24.098,1.1924,3.2385434782608695,230000
24,91743,9914,24.207,0.8522,3.1391125,240000
25,29154,10183,24.55,1.55,3.075548,250000
26,46296,10498,24.766,1.3577,3.009476923076923,260000
27,56179,10824,24.944,0.8887,2.9309296296296297,270000
28,42194,11119,25.181,0.9472,2.860082142857143,280000
29,24509,11332,25.589,6.835,2.997148275862069,290000
30,31055,11578,25.911,1.4277,2.9448333333333334,300000
31,45045,11862,26.133,1.7526,2.906374193548387,310000
32,105263,12200,26.228,2.4712,2.892775,320000
33,30211,12425,26.559,2.1551,2.870421212121212,330000
34,97087,12752,26.662,4.5008,2.9183735294117645,340000
35,90909,13073,26.772,4.6546,2.96798,350000
36,28409,13272,27.124,0.8663,2.9096,360000
37,47169,13535,27.336,0.7818,2.852091891891892,370000
38,32679,13747,27.642,1.6024,2.8192052631578948,380000
39,123456,14067,27.724,1.5832,2.7875128205128203,390000
40,26109,14231,28.107,1.01,2.743075,400000
41,50251,14484,28.307,0.6341,2.6916365853658535,410000
42,37174,14697,28.577,0.9953,2.651247619047619,420000
43,52631,14947,28.767,0.9889,2.612588372093023,430000
44,36101,15149,29.044,1.2206,2.5809522727272727,440000
45,96153,15438,29.148,3.3879,2.5988844444444443,450000
46,45662,15663,29.367,2.6711,2.600454347826087,460000
47,65359,15921,29.52,1.1637,2.5698851063829786,470000
48,67114,16177,29.67,1.6147,2.5499854166666664,480000
49,83333,16448,29.79,2.8798,2.556716326530612,490000
50,25974,16570,30.175,1.3008,2.531598,500000
51,56179,16802,30.353,0.6115,2.493949019607843,510000
52,31152,16952,30.674,0.9001,2.463298076923077,520000
53,30864,17097,30.998,1.3479,2.4422528301886794,530000
54,55555,17319,31.179,1.0248,2.4160037037037037,540000
55,42735,17508,31.413,1.2582,2.3949527272727273,550000
56,86206,17761,31.529,0.8648,2.3676285714285714,560000
57,57471,17979,31.703,2.2469,2.3655105263157896,570000
58,34013,18126,31.997,1.6955,2.3539586206896552,580000
59,87719,18373,32.111,0.7679,2.327076271186441,590000
60,24570,18451,32.518,2.6725,2.3328333333333333,600000
61,24813,18529,32.921,1.3736,2.3171081967213114,610000
62,60975,18739,33.086,1.1197,2.2977951612903227,620000
63,57803,18942,33.259,2.4718,2.300557142857143,630000
64,172413,19209,33.317,1.6192,2.2899109375,640000
65,31746,19326,33.632,1.5364,2.2783184615384617,650000
66,47393,19501,33.843,1.7545,2.2703818181818183,660000
67,277777,19776,33.879,1.423,2.2577343283582088,670000
68,23310,19820,34.308,1.5398,2.247176470588235,680000
69,56497,20008,34.485,0.9949,2.229027536231884,690000
70,68027,20212,34.632,1.1858,2.2141242857142855,700000
71,22988,20246,35.067,2.0813,2.2122535211267604,710000
72,31847,20349,35.381,1.227,2.1985694444444444,720000
73,28985,20433,35.726,1.2776,2.185953424657534,730000
74,46948,20590,35.939,0.7739,2.1668716216216217,740000
75,31446,20685,36.257,1.0364,2.1517986666666666,750000
76,31948,20781,36.571,1.0692,2.137553947368421,760000
77,45454,20929,36.791,1.7559,2.1325974025974026,770000
78,45871,21075,37.009,1.4847,2.1242910256410257,780000
79,96153,21286,37.113,1.013,2.1102240506329113,790000
80,46296,21431,37.329,1.105,2.09765875,800000
81,69444,21615,37.473,1.8718,2.09487037037037,810000
82,54945,21776,37.655,1.7086,2.090159756097561,820000
83,64935,21951,37.81,1.218,2.079651807228916,830000
84,48543,22095,38.016,1.3129,2.0705238095238094,840000
85,87719,22291,38.131,0.4725,2.0517235294117646,850000
86,40816,22409,38.377,1.3489,2.0435511627906977,860000
87,64516,22578,38.532,2.734,2.051487356321839,870000
88,35087,22670,38.817,1.2275,2.0421238636363634,880000
89,46511,22801,39.032,2.1953,2.0438449438202246,890000
90,51020,22942,39.228,2.4893,2.0487944444444444,900000
91,67567,23110,39.376,1.4773,2.0425142857142857,910000
92,42372,23225,39.612,2.9875,2.0527858695652172,920000
93,49504,23358,39.815,2.0547,2.0528064516129034,930000
94,46082,23481,40.032,0.8609,2.040126595744681,940000
95,44843,23599,40.255,1.4137,2.0335326315789475,950000
96,67567,23760,40.403,2.5258,2.0386604166666666,960000
97,98039,23944,40.511,3.8346,2.057175257731959,970000
98,35460,24023,40.793,1.8351,2.054909183673469,980000
99,54054,24159,40.978,1.5482,2.049790909090909,990000
100,64516,24311,41.133,0.7828,2.037121,1000000
101,53763,24443,41.319,0.6714,2.02359900990099,1010000
102,20242,24394,41.813,0.9497,2.013070588235294,1020000
103,31847,24449,42.127,1.6961,2.009993203883495,1030000
104,43859,24554,42.355,1.1165,2.001401923076923,1040000
105,91743,24726,42.464,2.7245,2.0082885714285714,1050000
106,42553,24824,42.699,2.2422,2.010495283018868,1060000
107,30864,24869,43.024,2.222,2.0124719626168224,1070000
108,46728,24978,43.238,1.2405,2.005324074074074,1080000
109,91743,25145,43.347,0.8436,1.9946660550458715,1090000
110,45454,25247,43.568,1.5895,1.9909827272727272,1100000
111,31446,25292,43.886,0.6802,1.9791738738738738,1110000
112,59171,25422,44.056,0.8451,1.9690482142857142,1120000
113,52910,25539,44.246,1.3077,1.9631955752212389,1130000
114,45454,25637,44.466,1.2106,1.9565938596491228,1140000
115,39525,25716,44.719,1.6711,1.954111304347826,1150000
116,32573,25762,45.026,1.4306,1.949598275862069,1160000
117,16233,25634,45.642,0.9669,1.9411991452991453,1170000
118,44642,25727,45.866,0.665,1.9303838983050847,1180000
119,30674,25762,46.192,1.0778,1.9232193277310925,1190000
120,41152,25842,46.435,1.9579,1.9235083333333334,1200000
121,37037,25907,46.705,1.2541,1.9179760330578512,1210000
122,28490,25926,47.056,2.9077,1.926088524590164,1220000
123,39370,25998,47.31,1.2935,1.9209455284552845,1230000
124,41152,26076,47.553,1.3249,1.9161387096774194,1240000
125,55865,26187,47.732,0.5984,1.9055968,1250000
126,51546,26290,47.926,1.7969,1.904734126984127,1260000
127,39525,26359,48.18,0.7014,1.8952590551181103,1270000
128,98039,26510,48.282,0.52,1.88451484375,1280000
129,129870,26675,48.359,1.9479,1.8850062015503877,1290000
130,42735,26752,48.594,0.6256,1.8753184615384615,1300000
131,25974,26746,48.979,1.7208,1.87413893129771,1310000
132,35587,26796,49.261,0.5299,1.863955303030303,1320000
133,67114,26917,49.41,1.8022,1.863490977443609,1330000
134,121951,27074,49.493,0.4101,1.852644776119403,1340000
135,34843,27119,49.78,0.8564,1.8452651851851851,1350000
136,70422,27242,49.922,1.5424,1.8430382352941177,1360000
137,34602,27284,50.211,0.8599,1.8358620437956203,1370000
138,36101,27333,50.488,1.9611,1.8367695652173912,1380000
139,42194,27402,50.725,0.9828,1.8306258992805755,1390000
140,67567,27519,50.873,0.8986,1.8239685714285714,1400000
141,46296,27598,51.089,0.5895,1.815213475177305,1410000
142,24096,27570,51.505,1.7635,1.8148492957746478,1420000
143,88495,27703,51.618,1.8585,1.8151545454545455,1430000
144,29673,27716,51.955,0.6666,1.8071784722222222,1440000
145,34129,27752,52.248,2.3009,1.810583448275862,1450000
146,36101,27796,52.525,2.2579,1.8136472602739726,1460000
147,82644,27922,52.646,0.7403,1.8063455782312925,1470000
148,47846,28001,52.855,1.4095,1.8036641891891891,1480000
149,120481,28146,52.938,0.8195,1.7970590604026846,1490000
150,51813,28232,53.131,3.7445,1.810042,1500000
151,200000,28393,53.181,1.8263,1.8101496688741723,1510000
152,48543,28471,53.387,1.8064,1.810125,1520000
153,43859,28536,53.615,3.8109,1.8232019607843137,1530000
154,49261,28614,53.818,1.9358,1.823933116883117,1540000
155,66666,28720,53.968,2.3196,1.8271309677419354,1550000
156,43290,28782,54.199,1.0725,1.8222935897435897,1560000
157,91743,28909,54.308,0.6232,1.814656050955414,1570000
158,43103,28969,54.54,1.146,1.8104240506329115,1580000
159,46082,29037,54.757,4.267,1.825874213836478,1590000
160,35211,29069,55.041,1.0167,1.820816875,1600000
161,48543,29141,55.247,1.2937,1.8175428571428571,1610000
162,25000,29112,55.647,1.539,1.8158234567901235,1620000
163,50251,29187,55.846,2.997,1.8230699386503066,1630000
164,62111,29282,56.007,0.4048,1.814421951219512,1640000
165,64102,29378,56.163,1.4001,1.8119109090909091,1650000
166,52083,29456,56.355,3.4526,1.821794578313253,1660000
167,19083,29360,56.879,1.9967,1.8228419161676648,1670000
168,78125,29470,57.007,0.4487,1.8146625,1680000
169,49751,29541,57.208,0.6624,1.8078443786982248,1690000
170,62893,29633,57.367,0.7483,1.8016117647058822,1700000
171,33333,29653,57.667,1.37,1.7990877192982455,1710000
172,23696,29609,58.089,1.0739,1.794871511627907,1720000
173,23866,29568,58.508,1.9033,1.7954982658959537,1730000
174,52083,29642,58.7,1.2177,1.7921775862068965,1740000
175,50505,29712,58.898,1.5074,1.7905502857142856,1750000
176,45045,29769,59.12,0.7402,1.7845823863636363,1760000
177,31948,29781,59.433,1.3196,1.7819553672316384,1770000
178,52631,29854,59.623,1.2629,1.7790393258426966,1780000
179,43668,29907,59.852,1.0163,1.7747782122905027,1790000
180,41841,29954,60.091,1.3153,1.7722255555555555,1800000
181,77519,30055,60.221,3.1621,1.7799044198895027,1810000
182,49504,30120,60.423,1.9919,1.7810692307692308,1820000
183,29498,30117,60.762,1.1898,1.7778382513661202,1830000
